Compound	CAS	T_half_air_days	Canonical_smiles
2-naphthalenamine	612-52-2|91-59-8	0.208333333333333	Nc1ccc2ccccc2c1
1,1'-biphenyl	nan	2.29166666666667	c1ccc(-c2ccccc2)cc1
1,1'-biphenyl -4,4'-diamine	nan	0.208333333333333	Nc1ccc(-c2ccc(N)cc2)cc1
acetic acid, (2,4-dichlorophenoxy)-	64296-19-1|94-75-7	0.708333333333333	O=C(O)COc1ccc(Cl)cc1Cl
2,4-dichlorophenoxybutyric acid	94-82-6	2.29166666666667	O=C(O)CCCOc1ccc(Cl)cc1Cl
benzo b thiophene	nan	7.08333333333333	
benzene, 1,2-dimethyl-	95-47-6	0.708333333333333	Cc1ccccc1C
phenol, 2-methyl-	95-48-7	0.208333333333333	Cc1ccccc1O
benzene, 1,2-dichloro-	95-50-1	22.9166666666667	Clc1ccccc1Cl
benzenamine, 2-chloro-	27134-26-5|95-51-2	2.29166666666667	Nc1ccccc1Cl
benzenamine, 2-methyl-	121536-13-8|68408-22-0|95-53-4	0.208333333333333	Cc1ccccc1N
benzene, 1,2,4-trimethyl-	95-36-3|95-63-6	0.708333333333333	Cc1ccc(C)c(C)c1
benzene, 1,2,4,5-tetramethyl-	15220-27-6|95-93-2	0.708333333333333	Cc1cc(C)c(C)cc1C
benzene, 1,2,4,5-tetrachloro-	12408-10-5|63697-22-3|95-94-3	70.8333333333333	Clc1cc(Cl)c(Cl)cc1Cl
phenol, 2,4,5-trichloro-	95-95-4	7.08333333333333	Oc1cc(Cl)c(Cl)cc1Cl
oxirane, phenyl-	192506-02-8|25189-69-9|96-09-3	0.708333333333333	c1ccc(C2CO2)cc1
propane, 1,2,3-trichloro-	96-18-4	22.9166666666667	ClCC(Cl)CCl
3-pentanone	96-22-0	2.29166666666667	CCC(=O)CC
benzene, (1-methylethyl)-	101316-43-2|98-82-8	0.708333333333333	CC(C)c1ccccc1
ethanone, 1-phenyl-	98-86-2	22.9166666666667	CC(=O)c1ccccc1
benzene, nitro-	98-95-3	0.208333333333333	O=[N+]([O-])c1ccccc1
benzene, 1-methyl-4-nitro-	99-99-0	0.708333333333333	Cc1ccc([N+](=O)[O-])cc1
phenol, 4-nitro-	100-02-7	2.29166666666667	O=[N+]([O-])c1ccc(O)cc1
benzene, ethyl-	100-41-4|20302-26-5	0.708333333333333	CCc1ccccc1
benzene, ethenyl-	100-42-5|12770-88-6|25086-18-4|6911-81-5|98444-30-5	0.208333333333333	C=Cc1ccccc1
benzenemethanol	100-51-6|185532-71-2|66072-40-0	2.29166666666667	OCc1ccccc1
benzene, methoxy-	100-66-3	0.708333333333333	COc1ccccc1
benzene, 1,1'-oxybis-	101-84-8|32576-61-7	0.708333333333333	c1ccc(Oc2ccccc2)cc1
benzene, propyl-	103-65-1	0.708333333333333	CCCc1ccccc1
benzeneacetic acid	103-82-2|17303-65-0|51146-16-8	2.29166666666667	O=C(O)Cc1ccccc1
phenol, 2,4-dimethyl-	105-67-9	0.708333333333333	Cc1ccc(O)c(C)c1
benzene, 1,4-dimethyl-	106-42-3|136777-61-2	0.708333333333333	Cc1ccc(C)cc1
benzene, 1,4-dichloro-	106-46-7|55232-43-4	22.9166666666667	Clc1ccc(Cl)cc1
benzenamine, 4-chloro-	106-47-8	0.208333333333333	Nc1ccc(Cl)cc1
1,3-butadiene	106-99-0|130983-70-9|1983-06-8|25339-57-5|26952-74-9	0.208333333333333	C=CC=C
2-propenal	107-02-8|81788-96-7	0.208333333333333	C=CC=O
ethane, 1,2-dichloro-	107-06-2|25323-30-2|52399-93-6	70.8333333333333	ClCCCl
propanenitrile	107-12-0	70.8333333333333	CCC#N
2-propenenitrile	107-13-1|63908-52-1	2.29166666666667	C=CC#N
2-propen-1-ol	107-18-6	2.29166666666667	C=CCO
1,2-ethanediol	107-21-1	2.29166666666667	OCCO
methane, chloromethoxy-	107-30-2	0.708333333333333	COCCl
formic acid, methyl ester	107-31-3	2.29166666666667	COC=O
2-pentanone	107-87-9	2.29166666666667	CCCC(C)=O
butanoic acid	107-92-6	2.29166666666667	CCCC(=O)O
acetic acid ethenyl ester	108-05-4|93196-02-2	2.29166666666667	C=COC(C)=O
2-pentanone, 4-methyl-	108-10-1	2.29166666666667	CC(=O)CC(C)C
benzene, 1,3-dimethyl-	108-38-3	0.708333333333333	Cc1cccc(C)c1
propane, 2,2'-oxybis 1-chloro-	nan	0.708333333333333	
benzene, 1,3,5-trimethyl-	108-67-8|19121-63-2	0.708333333333333	Cc1cc(C)cc(C)c1
benzene, 1,3,5-trichloro-	108-70-3|63697-19-8	22.9166666666667	Clc1cc(Cl)cc(Cl)c1
benzene, bromo-	108-86-1|52753-63-6	7.08333333333333	Brc1ccccc1
cyclohexane, methyl-	108-87-2	0.708333333333333	CC1CCCCC1
benzene, methyl-	108-88-3|25013-04-1	0.708333333333333	Cc1ccccc1
pyridine, 4-methyl-	108-89-4|69046-49-7|92075-35-9	22.9166666666667	Cc1ccncc1
benzene, chloro-	108-90-7|50717-45-8	7.08333333333333	Clc1ccccc1
cyclohexanamine	108-91-8|157973-60-9	0.208333333333333	NC1CCCCC1
cyclohexanol	108-93-0	2.29166666666667	OC1CCCCC1
cyclohexanone	108-94-1|9075-99-4	2.29166666666667	O=C1CCCCC1
phenol	108-95-2|17442-59-0|27073-41-2|63496-48-0|73607-76-8	0.708333333333333	Oc1ccccc1
pyridine, 3-methyl-	108-99-6	22.9166666666667	Cc1cccnc1
acetic acid, propyl ester	109-60-4	2.29166666666667	CCCOC(C)=O
pentane	102056-77-9|107949-95-1|109-66-0	0.708333333333333	CCCCC
1-pentene	109-67-1|25587-78-4	0.208333333333333	C=CCCC
1-butanamine	109-73-9	0.708333333333333	CCCCN
formic acid, ethyl ester	109-94-4	2.29166666666667	CCOC=O
furan, tetrahydro-	109-99-9|24979-97-3	0.708333333333333	C1CCOC1
furan	110-00-9|25067-54-3	0.708333333333333	c1ccoc1
thiophene	107760-19-0|110-02-1|25233-34-5|51325-05-4	2.29166666666667	c1ccsc1
2-heptanone	110-43-0	2.29166666666667	CCCCCC(C)=O
hexane	110-54-3|478799-92-7|50981-41-4|92112-69-1	0.708333333333333	CCCCCC
ethene, (2-chloroethoxy)-	110-75-8|29160-08-5	0.708333333333333	C=COCCCl
