Compound	CAS	T_half_soil_days	Canonical_smiles	Corrected_names	n_sources
GASOLINE	86290-81-5	71.0	CC(C=Cn1ccc2ccccc21)CCCC(C)(C)O		1
GLUFOSINATE-AMMONIUM	77182-82-2	20.0	CP(=O)(O)CCC(N)C(=O)O.N		1
Glutaraldehyde	111-30-8	1.7	O=CCCCC=O		1
GLYPHOSATE	1071-83-6|81591-81-3|994-61-6	130.0	O=C(O)CNCP(=O)(O)O		1
HEPTENOPHOS	23560-59-0	1.4	COP(=O)(OC)OC1=C(Cl)C2C=CCC12		1
HEXABROMOCYCLODODECANE		1039.0	BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br		1
HEXACHLORODIBENZO-p-DIOXIN	34465-46-8|39227-28-6	7305.0	Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2		1
HEXACHLORONAPHTHALENE	1335-87-1|58877-88-6	180.0	Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl		1
HEXAFLUMURON	86479-06-3	190.0	OC(=Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1)N=C(O)c1c(F)cccc1F		1
Hexazinone	51235-04-2	502.0	CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C		1
Hexythiazox	78587-05-0	110.0	C[C@H]1[C@H](c2ccc(Cl)cc2)SC(=O)N1C(O)=NC1CCCCC1		1
HYDRAMETHYLNON	67485-29-4	385.0	CC1(C)CN=C(NN=C(C=Cc2ccc(C(F)(F)F)cc2)C=Cc2ccc(C(F)(F)F)cc2)NC1		1
IMAZALIL	35554-44-0|73790-28-0	166.0	C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl		1
Imazamox	114311-32-9|221298-64-2	25.0	COCc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1		1
Imazapic	104098-48-8|81334-60-3	410.0	Cc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1		1
IMAZAPYR	81334-34-1|94795-74-1	155.0	CC(C)C1(C)NC(c2ncccc2C(=O)O)=NC1=O		1
IMAZETHAPYR	81335-77-5	257.28	CCc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1		1
Imazosulfuron	122548-33-8	60.0	COc1cc(OC)nc(N=C(O)NS(=O)(=O)c2c(Cl)nc3ccccn23)n1		1
INDENO(1,2,3-CD)PYRENE	193-39-5	730.0	c1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45		1
IODOFENPHOS	18181-70-9	85.1	COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl		1
IPRODIONE	36734-19-7|61840-50-4	30.0	CC(C)N=C(O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O		1
ISAZOFOS	42509-80-8	40.5	CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1		1
ISOBENZAN	297-78-9	182.0	ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl		1
ISOFENPHOS	103982-06-5|103982-07-6|25311-71-1	365.0	CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C		1
Isoprene	26796-44-1|78-79-5|9006-04-6|9041-65-0	0.25	C=CC(=C)C		1
ISOSYSTOX	126-75-0	26.0	CCOP(=O)(OCC)SCCSCC		1
ISOXABEN	82558-50-7	202.0	CCC(C)(CC)c1cc(NC(=O)c2c(OC)cccc2OC)on1		1
ISOXAFLUTOLE	141112-29-0	9.6	CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1		1
ISOXATHION	18854-01-8	40.0	CCOP(=S)(OCC)Oc1cc(-c2ccccc2)on1		1
LACTOFEN	77501-63-4|83513-60-4	30.0	CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]		1
LIMONENE	138-86-3|7705-14-8	0.83	C=C(C)C1CC=C(C)CC1		1
LINCOMYCIN	154-21-2	9.9	CCC[C@@H]1C[C@@H](C(O)=N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1		1
MALEIC HYDRAZIDE	116595-47-2|123-33-1	3.0	Oc1ccc(O)nn1		1
Mancozeb	8018-01-7	3.0	SC(S)=NCCN=C(S)S.SC(S)=NCCN=C(S)S.SC(S)=NCCN=C(S)S.SC(S)=NCCN=C(S)S.SC(S)=NCCN=C(S)S.[Mn+2].[Mn+2].[Mn+2].[Mn+2].[Mn+2].[Mn+2].[Mn+2].[Mn+2].[Mn+2].[S-]C([S-])=NCCN=C([S-])[S-].[S-]C([S-])=NCCN=C([S-])[S-].[S-]C([S-])=NCCN=C([S-])[S-].[S-]C([S-])=NCCN=C([S-])[S-].[S-]C([S-])=NCCN=C([S-])[S-].[Zn+2]		1
m-CRESOL	108-39-4	11.3	Cc1cccc(O)c1		1
MECARBAM	2595-54-2	77.0	CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC		1
Mefluidide	53780-34-0	12.0	CC(O)=Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C		1
MENAZON	78-57-9	23.0	COP(=S)(OC)SCc1nc(=N)[nH]c(=N)[nH]1		1
MEPIQUAT CHLORIDE	24307-26-4	87.2	C[N+]1(C)CCCCC1.[Cl-]		1
METALAXYL	57837-19-1	70.0	COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC		1
Metaldehyde	108-62-3|37273-91-9	60.0	CC1OC(C)OC(C)OC(C)O1		1
METFORMIN	657-24-9	5.0	CN(C)C(=N)NC(=N)N		1
METHIDATHION	950-37-8	11.0	COc1nn(CSP(=S)(OC)OC)c(=O)s1		1
METHIOCARB	2032-65-7	111.0	CN=C(O)Oc1cc(C)c(SC)c(C)c1		1
METHOMYL	16752-77-5	42.0	CN=C(O)ON=C(C)SC		1
METHOPRENE	36557-27-4|40596-69-8|41205-06-5|52020-07-2	10.0	COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C		1
METHYL ISOTHIOCYANATE	556-61-6	50.0	CN=C=S		1
Metofluthrin	240494-70-6	8.0	CC=CC1C(C(=O)OCc2c(F)c(F)c(COC)c(F)c2F)C1(C)C		1
METOLCARB	1129-41-5	55.0	CN=C(O)Oc1cccc(C)c1		1
METRIBUZIN	21087-64-9	439.0	CSc1nnc(C(C)(C)C)c(=O)n1N		1
METRONIDAZOLE	443-48-1|56010-45-8	26.9	Cc1ncc([N+](=O)[O-])n1CCO		1
METSULFURON-METHYL	74223-64-6	54.0	COC(=O)c1ccccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1		1
MEVINPHOS	26718-65-0|298-01-1|7786-34-7	0.5	COC(=O)C=C(C)OP(=O)(OC)OC		1
MEXACARBATE	315-18-4	9.32	CN=C(O)Oc1cc(C)c(N(C)C)c(C)c1		1
MGK 264	208521-24-8	341.0	CCCCC(CC)CN1C(=O)[C@@H]2[C@H](C1=O)[C@@H]1C=C[C@H]2C1		1
MOBAM	1079-33-0	90.0	CN=C(O)Oc1cccc2sccc12		1
MOLINATE	2212-67-1	160.0	CCSC(=O)N1CCCCCC1		1
MONOCROTOPHOS	6923-22-4	5.0	CN=C(O)C=C(C)OP(=O)(OC)OC		1
MYCLOBUTANIL	244094-39-1|244094-40-4|88671-89-0	66.0	CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1		1
N,N-DIBUTYLNITROSOAMINE	924-16-3	21.0	CCCCN(CCCC)N=O		1
NALED	300-76-5	6.0	COP(=O)(OC)OC(Br)C(Cl)(Cl)Br		1
NAPROAMIDE		507.0	CCN(CC)C(=O)C(C)Oc1cccc2ccccc12	N,N-Diethyl-2-naphthalen-1-yloxypropanamide	2
Nicosulfuron	111991-09-4	26.0	COc1cc(OC)nc(N=C(O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1		1
Nitenpyram	120738-89-8|150824-47-8	15.0	CCN(Cc1ccc(Cl)nc1)C(=C[N+](=O)[O-])NC		1
NITRALIN	4726-14-1	111.0	CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-]		1
NITRILOTRIACETIC ACID	139-13-9|49784-42-1|80751-51-5	5.2	O=C(O)CN(CC(=O)O)CC(=O)O		1
Nitrotriazolone	932-64-9	2.0	O=[N+]([O-])c1nc(O)n[nH]1		1
NONYLPHENOL		51.0	CCCCCCCCCc1ccccc1O		1
NORFLURAZON	27314-13-2	225.0	CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl		1
NORTRIPTYLINE	72-69-5	40.5	CNCCC=C1c2ccccc2CCc2ccccc21		1
OCHRATOXIN A	303-47-9	1.0	C[C@@H]1Cc2c(Cl)cc(C(O)=N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1		1
Octhilinone	26530-20-1	30.0	CCCCCCCCn1sccc1=O		1
OLAQUINDOX	23696-28-2|23696-28-8	8.8	Cc1c(C(O)=NCCO)[n+](=O)c2ccccc2n1[O-]		1
OMETHOATE	1113-02-6	14.0	CN=C(O)CSP(=O)(OC)OC		1
ORYZALIN	19044-88-3	132.0	CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-]		1
OXADIAZON	19666-30-9	577.0	CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl		1
OXAMYL	23135-22-0	46.0	CN=C(O)ON=C(SC)C(=O)N(C)C		1
OXYCARBOXIN	5259-88-1	56.0	CC1=C(C(O)=Nc2ccccc2)S(=O)(=O)CCO1		1
OXYFLUOROFEN	42874-03-3	12.0	CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]		1
OXYTHIOQUINOX	2439-01-2	3.7	Cc1ccc2nc3sc(=O)sc3nc2c1		1
Paraquat	3240-78-6|4685-14-7	3652.0	C[n+]1ccc(-c2cc[n+](C)cc2)cc1		1
PEBULATE	1114-71-2|114-71-2	60.0	CCCCN(CC)C(=O)SCCC		1
Pendimethalin	40487-42-1	52.2	CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-]		1
Penoxsulam	219714-96-2	58.0	COc1cnc(OC)n2nc(NS(=O)(=O)c3c(OCC(F)F)cccc3C(F)(F)F)nc12		1
PENTACHLORONITROBENZENE	82-68-8	1059.0	O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl		1
PERMETHRIN	52341-32-9|52341-33-0|52645-53-1|82523-59-9|93389-07-2	126.0	CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1		1
PHORATE	298-02-2	10.0	CCOP(=S)(OCC)SCSCC		1
PHOSPHAMIDON	13171-21-6|23783-98-4	28.0	CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC		1
PICLORAM	1918-02-1|19180-02-1	513.0	Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl		1
PIPERALIN	3478-94-2	100.0	CC1CCCCN1CCCOC(=O)c1ccc(Cl)c(Cl)c1		1
Piperonyl butoxide	51-03-6	14.0	CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2		1
PIRIMICARB	23103-98-2	234.0	Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C		1
PIRIMIPHOS-ETHYL	23505-41-1	70.0	CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1		1
PRIMISULFURON-METHYL	86209-51-0	89.0	COC(=O)c1ccccc1S(=O)(=O)NC(O)=Nc1nc(OC(F)F)cc(OC(F)F)n1		1
PROFENOFOS	41198-08-7|81116-98-5|81123-19-5	3.0	CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl		1
PROFLURALIN	26399-36-0	110.0	CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]		1
PROMETON	1610-18-0	932.0	COc1nc(=NC(C)C)[nH]c(=NC(C)C)[nH]1		1
PROMETRYNE	1705649-52-0|7287-19-6	360.0	CSc1nc(=NC(C)C)[nH]c(=NC(C)C)[nH]1		1
PRONAMIDE	23950-58-5	60.0	C#CC(C)(C)N=C(O)c1cc(Cl)cc(Cl)c1		1
PROPACHLOR	1918-16-7	2.7	CC(C)N(C(=O)CCl)c1ccccc1		1
PROPANIL	709-98-8	2.3	CCC(O)=Nc1ccc(Cl)c(Cl)c1		1
PROPARGYL ALCOHOL	107-19-7	13.0	C#CCO		1
PROPAZINE	139-40-2|1655498-05-7	127.0	CC(C)N=c1nc(Cl)[nH]c(=NC(C)C)[nH]1		1
PROPICONAZOLE	120523-07-1|1246818-14-3|60207-90-1|75881-82-2	210.0	CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1		1
Propoxycarbazone-sodium	181274-15-7	103.0	CCCOc1nn(C([O-])=NS(=O)(=O)c2ccccc2C(=O)OC)c(=O)n1C.[Na+]		1
Prosulfuron	94125-34-5	229.0	COc1nc(C)nc(=NC(O)=NS(=O)(=O)c2ccccc2CCC(F)(F)F)[nH]1		1
Prothioconazole	178928-70-6	1336.0	OC(Cc1ccccc1Cl)(Cn1[nH]cnc1=S)C1(Cl)CC1		1
PYMETROZINE	123312-89-0	38.0	CC1=NN=C(O)N(N=Cc2cccnc2)C1		1
PYRACLOSTROBIN	175013-18-0	36.0	COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1		1
Pyrasulfotole	365400-11-9	99.0	Cc1[nH]n(C)c(=O)c1C(=O)c1ccc(C(F)(F)F)cc1S(C)(=O)=O		1
Pyridalyl	179101-81-6	346.6	FC(F)(F)c1ccc(OCCCOc2c(Cl)cc(OCC=C(Cl)Cl)cc2Cl)nc1		1
PYRIMETHANIL	53112-28-0	82.0	Cc1cc(C)nc(Nc2ccccc2)n1		1
Quinoxyfen	124495-18-7	508.0	Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1		1
QUIZALOFOP-ETHYL	100760-10-9|76578-14-8	60.0	CCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1		1
Rimsulfuron	122931-48-0	24.5	CCS(=O)(=O)c1cccnc1S(=O)(=O)NC(O)=Nc1nc(OC)cc(OC)n1		1
ROTENONE	83-79-4	25.0	C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1		1
SALINOMYCIN	53003-10-4	5.0	CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)[C@@H]1O[C@@H]([C@@H](CC)C(=O)O)CC[C@@H]1C)[C@H]1O[C@]2(C=C[C@@H](O)[C@]3(CC[C@@](C)([C@H]4CC[C@](O)(CC)[C@H](C)O4)O3)O2)[C@H](C)C[C@@H]1C		1
SETHOXYDIM	1262311-71-6|71441-80-0|74051-80-2	50.0	CCCC(=NOCC)C1=C(O)CC(CC(C)SCC)CC1=O		1
SIDURON	1982-49-6	150.0	CC1CCCCC1NC(O)=Nc1ccccc1		1
Stearic acid	18639-67-3|57-11-4	13.025	CCCCCCCCCCCCCCCCCC(=O)O		1
SULFAMETHAZINE	57-68-1	7.6	Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1		1
SULFENTRAZONE	122836-35-5	3285.0	Cc1nn(-c2cc(NS(C)(=O)=O)c(Cl)cc2Cl)c(=O)n1C(F)F		1
Sulfometuron-methyl	74222-97-2	25.0	COC(=O)c1ccccc1S(=O)(=O)NC(O)=Nc1nc(C)cc(C)n1		1
SULPROFOS	35400-43-2	28.0	CCCSP(=S)(OCC)Oc1ccc(SC)cc1		1
SWEP	1918-18-9	42.0	COC(O)=Nc1ccc(Cl)c(Cl)c1		1
SYSTOX	8065-48-3	26.0	CCOP(=O)(OCC)SCCSCC.CCOP(=S)(OCC)OCCSCC		1
TEBUFENOZIDE	112410-23-8|142583-69-5	179.0	CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1		1
TEBUPIRIMFOS	96182-53-5	343.0	CCOP(=S)(Oc1cnc(C(C)(C)C)nc1)OC(C)C		1
TEBUTHIURON	34014-18-1	1077.0	CN=C(O)N(C)c1nnc(C(C)(C)C)s1		1
TERBACIL	5902-51-2	653.0	Cc1nc(O)n(C(C)(C)C)c(=O)c1Cl		1
TERBUFOS	13071-79-9	86.6	CCOP(=S)(OCC)SCSC(C)(C)C		1
TERBUTRYNE	886-50-0	227.0	CCN=c1nc(NC(C)(C)C)[nH]c(SC)n1		1
TERPINOLENE	586-62-9	3.0	CC1=CCC(=C(C)C)CC1		1
TETRACHLORVINPHOS	22248-79-9	4.4	COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl		1
TETRYL	479-45-8	90.0	CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-]		1
THIABENDAZOLE	148-79-8	403.0	c1ccc2[nH]c(-c3cscn3)nc2c1		1
Thiacloprid	1119449-18-1|111988-49-9	142.0	N#CN=C1SCCN1Cc1ccc(Cl)nc1		1
THIAZOPYR	117718-60-2|147172-37-0	437.0	COC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C2=NCCS2)c1CC(C)C		1
THIFENSULFURON-METHYL	79277-27-3	27.0	COC(=O)c1sccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1		1
THIOBENCARB	28249-77-6	137.0	CCN(CC)C(=O)SCc1ccc(Cl)cc1		1
THIONAZIN	297-97-2	14.0	CCOP(=S)(OCC)Oc1cnccn1		1
THIOUREA	17356-08-0|62-56-6	18.7	N=C(N)S		1
TIAMULIN	55297-95-5	16.0	C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O		1
TOLYLFLUANID	731-27-1	2.0	Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1		1
TRALKOXYDIM		35.0	CCON=C(CC)C1=C(O)CC(c2c(C)cc(C)cc2C)CC1=O	2-[1-(Ethoxyimino)propyl]-3-hydroxy-5-(2,4,6-trimethylphenyl)-2-cyclohexen-1-one	1
Tralomethrin	66841-25-6	84.0	CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1C(Br)C(Br)(Br)Br		1
trans-1,2-Dichloroethylene	15075-90-8|156-60-5	23.0	ClC=CCl		1
TRIADIMEFON	43121-43-3	26.0	CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1		1
Triasulfuron	82097-50-5	76.0	COc1nc(C)nc(=NC(O)=NS(=O)(=O)c2ccccc2OCCCl)[nH]1		1
TRIAZOPHOS	24017-47-8	87.0	CCOP(=S)(OCC)Oc1ncn(-c2ccccc2)n1		1
TRIBENURON-METHYL	101200-48-0	21.0	COC(=O)c1ccccc1S(=O)(=O)N=C(O)N(C)c1nc(C)nc(OC)n1		1
TRIBUFOS	37251-32-4|78-48-8	745.0	CCCCSP(=O)(SCCCC)SCCCC		1
TRICHLORFON	26373-97-7|52-68-6|56042-26-3|56042-27-4	27.0	COP(=O)(OC)C(O)C(Cl)(Cl)Cl		1
TRICHLOROACETIC ACID	76-03-9	119.6	O=C(O)C(Cl)(Cl)Cl		1
TRICHLORONATE	327-98-0	180.0	CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl		1
Triclocarban	101-20-2	231.0	OC(=Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)cc1		1
TRICLOPYR	055335-06-3|55335-06-3	1300.0	O=C(O)COc1nc(Cl)c(Cl)cc1Cl		1
Triclosan	3380-34-5|88032-08-0	398.8	Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl		1
TRICYCLOHEXYLTIN HYDROXIDE	13121-70-5|13171-70-5	50.0	O.[CH]1CCCCC1.[CH]1CCCCC1.[CH]1CCCCC1.[Sn]		1
TRIDECYLBENZENE	123-02-4|29463-64-7|53570-71-1	8.4	CCCCCCCCCCCCCc1ccccc1		1
Trifloxystrobin	141517-21-7	2.3	CON=C(C(=O)OC)c1ccccc1CON=C(C)c1cccc(C(F)(F)F)c1		1
TRIFORINE	26644-46-2	19.0	OC=NC(N1CCN(C(N=CO)C(Cl)(Cl)Cl)CC1)C(Cl)(Cl)Cl		1
TRIISOPROPANOLAMINE	122-20-3	2.0	CC(O)CN(CC(C)O)CC(C)O		1
TRIPHENYL PHOSPHATE	115-86-6	37.0	O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1		1
TRIPHENYLTIN ACETATE	900-45-8|900-95-8	140.0	CC(=O)[O-].[Sn+].[c]1ccccc1.[c]1ccccc1.[c]1ccccc1		1
TRIPHENYLTIN CHLORIDE	639-58-7	14.0	[Cl-].[Sn+].[c]1ccccc1.[c]1ccccc1.[c]1ccccc1		1
TRIPHENYLTIN HYDROXIDE	76-87-9	14.0	O.[Sn].[c]1ccccc1.[c]1ccccc1.[c]1ccccc1		1
TYLOSIN	1401-69-0|8026-48-0	2.0	CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)C=CC(C)=C[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC		1
VAMIDOTHION	2275-23-2	1.5	CN=C(O)C(C)SCCSP(=O)(OC)OC		1
VERNOLATE	1929-77-7	139.0	CCCSC(=O)N(CCC)CCC		1
VIRGINIAMYCIN	11006-76-1	173.0	CC1=CC(O)CC(=O)Cc2nc(co2)C(=O)N2CCC=C2C(=O)OC(C(C)C)C(C)C=CC(O)=NCC=C1.CCC1N=C(O)C(N=C(O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)N=C(O)C2CC(=O)CCN2C(=O)C(Cc2ccccc2)N(C)C(=O)C2CCCN2C1=O		1
Zoxamide	156052-68-5	19.0	CCC(C)(N=C(O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl		1
p, p' - DDT		708.333333333333	Clc1ccccc1C(c1ccccc1Cl)C(Cl)(Cl)Cl	1,1,1-trichloro-2,2-bis(chlorophenyl)ethane	1
benzo a pyrene		708.333333333333	c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34	benzo[a]pyrene	1
dibenz(a,h)anthracene	53-70-3	708.333333333333	c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12		1
benzamide	55-21-0|55738-52-8	7.08333333333333	N=C(O)c1ccccc1		1
tetrachlorometane		229.166666666667	ClC(Cl)(Cl)Cl	tetrachloro methane	1
parathion	56-38-2	22.9166666666667	CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1		1
benz a anthracene		708.333333333333	c1ccc2cc3c(ccc4ccccc43)cc2c1	benzo[a]anthracene	1
chlordane	12789-03-6|33442-85-2|5103-71-9|5103-74-2	708.333333333333	ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl		1
ethane, 1,1'-oxybis-	60-29-7|667919-88-2	22.9166666666667	CCOCC		1
acetamide	60-35-5|74330-92-0	7.08333333333333	CC(=N)O		1
dieldrin	60-57-1|605-72-1	708.333333333333	ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl		1
benzenamine	136260-71-4|62-53-3	7.08333333333333	Nc1ccccc1		1
ethanethioamide	62-55-5	7.08333333333333	CC(=N)S		1
methanamine, n-methyl-n-nitroso-	62-75-9	70.8333333333333	CN(C)N=O		1
1-naphthalenol, methylcarbamate	27636-33-5|3197-92-0|63-25-2	22.9166666666667	CN=C(O)Oc1cccc2ccccc12		1
ethanol	42845-45-4|64-17-5|8000-16-6	2.29166666666667	CCO		1
formic acid	64-18-6|82069-14-5	7.08333333333333	O=CO		1
acetic acid	64-19-7|77671-22-8	7.08333333333333	CC(=O)O		1
benzoic acid	14322-82-8|65-85-0	7.08333333333333	O=C(O)c1ccccc1		1
methanol	170082-17-4|67-56-1	2.29166666666667	CO		1
2-propanol	1344575-38-7|67-63-0|8003-15-4	2.29166666666667	CC(C)O		1
2-propanone	67-64-1	7.08333333333333	CC(C)=O		1
methane, trichloro-	67-66-3	229.166666666667	ClC(Cl)Cl		1
ethane, hexachloro-	67-72-1	229.166666666667	ClC(Cl)(Cl)C(Cl)(Cl)Cl		1
benzoic acid, 2-hydroxy-	29656-58-4|69-72-7|8052-31-1	7.08333333333333	O=C(O)c1ccccc1O		1
1-propanol	142583-61-7|62309-51-7|71-23-8	2.29166666666667	CCCO		1
1-butanol	1219794-84-9|35296-72-1|6167-45-9|64118-16-7|71-36-3	2.29166666666667	CCCCO		1
1-pentanol	148587-12-6|30899-19-5|71-41-0	2.29166666666667	CCCCCO		1
benzene	25053-22-9|26181-88-4|3355-34-8|54682-86-9|62485-97-6|71-43-2	22.9166666666667	c1ccccc1		1
methoxychlor	1644449-82-0|72-43-5	70.8333333333333	COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1		1
p,p' - DDE		2291.66666666667	ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1	1,1'-(2,2-dichloroethenylidene)bis[4-chloro-benzene]	1
methane, bromochloro-	13590-47-1|74-97-5	70.8333333333333	ClCBr		1
ethene, chloro-	1187028-37-0|75-01-4	70.8333333333333	C=CCl		1
ethanamine	75-04-7	7.08333333333333	CCN		1
acetaldehyde	75-07-0	2.29166666666667	CC=O		1
methane, dichloro-	75-09-2	229.166666666667	ClCCl		1
methane, bromodichloro-	75-27-4	70.8333333333333	ClC(Cl)Br		1
2-propanol, 2-methyl-	25-65-0|75-65-0	7.08333333333333	CC(C)(C)O		1
propanoic acid, 2,2-dichloro-	75-99-0	70.8333333333333	CC(Cl)(Cl)C(=O)O		1
ethane, pentachloro-	76-01-7	229.166666666667	ClC(Cl)C(Cl)(Cl)Cl		1
1-propanol, 2-methyl-	78-83-1	2.29166666666667	CC(C)CO		1
propane, 1,2-dichloro-	78-87-5	229.166666666667	CC(Cl)CCl		1
2-butanone	78-93-3	2.29166666666667	CCC(C)=O		1
ethene, trichloro-	123919-09-5|79-01-6	70.8333333333333	ClC=C(Cl)Cl		1
2-propenoic acid	55927-87-2|79-10-7|9063-87-0	7.08333333333333	C=CC(=O)O		1
acetic acid, chloro-	79-11-8	22.9166666666667	O=C(O)CCl		1
acetic acid, methyl ester	79-20-9	7.08333333333333	COC(C)=O		1
ethane, 1,1,2,2-tetrachloro-	79-34-5	229.166666666667	ClC(Cl)C(Cl)Cl		1
2-propenoic acid, 2-methyl-, methyl ester	114512-63-9|143476-91-9|51391-19-6|80-62-6|9065-11-6|97555-82-3	7.08333333333333	C=C(C)C(=O)OC		1
1,2-benzenedicarboxylic acid, diethyl ester	84-66-2	22.9166666666667	CCOC(=O)c1ccccc1C(=O)OCC		1
1,2-benzenedicarboxylic acid, dibutyl ester	84-74-2	22.9166666666667	CCCCOC(=O)c1ccccc1C(=O)OCCCC		1
phenanthrene	85-01-8	229.166666666667	c1ccc2c(c1)ccc1ccccc12		1
1,2-benzenedicarboxylic acid, butyl phenylmethyl ester	85-68-7	22.9166666666667	CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1		1
