Compound	CAS	T_half_air_days	Canonical_smiles	Corrected_names	n_sources
PCB-87	38380-02-8	70.8333333333333	Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1		1
PCB-47		70.8333333333333	Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1	2,2',4,4'-Tetrachlorobiphenyl	1
PCB-40		70.8333333333333	Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl	2,2',3,3'-Tetrachlorobiphenyl	1
PCB-33		22.9166666666667	Clc1ccc(-c2ccccc2Cl)cc1Cl	2,3',4'-Trichlorobiphenyl	1
PCB-29		22.9166666666667	Clc1cc(Cl)c(-c2ccccc2)cc1Cl	2,4,5-Trichlorobiphenyl	1
PCB-18		22.9166666666667	Clc1ccc(Cl)c(-c2ccccc2Cl)c1	2,2',5-Trichlorobiphenyl	1
PCB-30		22.9166666666667	Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1	2,4,6-Trichlorobiphenyl	1
1-Chlorodibenzodioxin	35656-51-0|39227-53-7	7.08333333333333	Clc1cccc2c1Oc1ccccc1O2		1
2-Chlorodibenzodioxin		7.08333333333333	Clc1ccc2c(c1)Oc1ccccc1O2		1
PCB-7		7.08333333333333	Clc1ccc(-c2ccccc2)c(Cl)c1	2,4-Dichlorobiphenyl	1
PCB-9		7.08333333333333	Clc1ccc(Cl)c(-c2ccccc2)c1	2,5-Dichlorobiphenyl	1
PCB-11		7.08333333333333	Clc1cccc(-c2cccc(Cl)c2)c1	3,3'-Dichlorobiphenyl	1
PCB-15		7.08333333333333	Clc1ccc(-c2ccc(Cl)cc2)cc1	4,4'-Dichlorobiphenyl	1
PCB-4		7.08333333333333	Clc1ccccc1-c1ccccc1Cl	2,2'-Dichlorobiphenyl	1
PCB-206	40186-72-9|53742-07-7	708.333333333333	Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl		1
1,2-benzenedicarboxylic acid, dibutyl ester, dibutylphthalate		2.29166666666667	CCCCOC(=O)c1ccccc1C(=O)OCCCC.CCCCOC(=O)c1ccccc1C(=O)OCCCC		1
benzo[ghi]perylene	191-24-2	7.08333333333333	c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56		1
chloroethane	25052-55-5|75-00-3	70.8333333333333	CCCl		1
bis(2-chloroethoxy)methane	111-91-1	0.708333333333333	ClCCOCOCCCl		1
methylcyclopentane	5310-57-6|96-37-7	0.708333333333333	CC1CCCC1		1
2,3,4,5-tetrachlorophenol	25167-83-3|4901-51-3	22.9166666666667	Oc1cc(Cl)c(Cl)c(Cl)c1Cl		1
2,3,5,6-tetrachlorophenol	935-95-5	22.9166666666667	Oc1c(Cl)c(Cl)cc(Cl)c1Cl		1
2,3,4,6-tetrachlorophenol	25167-83-3|58-90-2	22.9166666666667	Oc1c(Cl)cc(Cl)c(Cl)c1Cl		1
1,2,3-trichlorobenzene	12002-48-1|51703-47-0|87-61-6	22.9166666666667	Clc1cccc(Cl)c1Cl		1
2,3,4-trichlorophenol	15950-66-0|25167-82-2	7.08333333333333	Oc1ccc(Cl)c(Cl)c1Cl		1
2,6-dichlorophenol	25511-62-0|87-65-0	2.29166666666667	Oc1c(Cl)cccc1Cl		1
4-chlorophenol	106-48-9	2.29166666666667	Oc1ccc(Cl)cc1		1
pentachlorophenol	87-86-5	22.9166666666667	Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl		1
Chlorothalonil	1897-32-1|1897-45-6	7.08333333333333	N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl		1
2,4,5-trichlorophenoxyacetic acid	35915-18-5|93-76-5	2.29166666666667	O=C(O)COc1cc(Cl)c(Cl)cc1Cl		1
Chloropyrifos	2921-88-2	0.708333333333333	CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl		1
Captan	133-06-2	0.708333333333333	O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl		1
trichlorofluoromethane	75-69-4	708.333333333333	FC(Cl)(Cl)Cl		1
Chloropicrin	76-06-2	7.08333333333333	O=[N+]([O-])C(Cl)(Cl)Cl		1
tribromomethane	4471-18-5|75-25-2	70.8333333333333	BrC(Br)Br		1
pcb-155	56558-19-1	229.166666666667	Oc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1O		1
pcb-153(2,2',4,4',5,5'-hexachlorobiphenyl)		229.166666666667	Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl	2,2',4,4',5,5'-Hexachlorobiphenyl	1
pcb-52(2,2',5,5'-tetrachlorobiphenyl)		70.8333333333333	Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1	2,2',5,5'-Tetrachlorobiphenyl	1
pcb-77(3,3',4,4'-tetrachlorobiphenyl)		70.8333333333333	Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl	 3,3',4,4'-Tetrachlorobiphenyl	1
1,4,5-trimethylnapthalene		0.708333333333333	Cc1ccc(C)c2c(C)cccc12	1,4,5-trimethylnaphthalene	1
tetrachloroethylene	127-18-4|25135-99-3	22.9166666666667	ClC(Cl)=C(Cl)Cl		1
benzyldehyde		0.208333333333333	O=Cc1ccccc1	benzaldehyde	1
1,2,3,4,7,8-Hexachlorodibenzofuran	55684-94-1|70648-26-9	22.9166666666667	Clc1cc2oc3c(Cl)c(Cl)c(Cl)c(Cl)c3c2cc1Cl		1
1,2,3,4,7,8-Hexachlorodibenzo-P-dioxin	34465-46-8|39227-28-6	22.9166666666667	Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2		1
1,3,6,8-Tetrachlorodibenzo-P-dioxin	33423-92-6	7.08333333333333	Clc1cc(Cl)c2c(c1)Oc1c(Cl)cc(Cl)cc1O2		1
bis(2-chloroisopropyl)ether	39638-32-9	0.708333333333333	CC(C)(Cl)OC(C)(C)Cl		1
2,3,5-trichlorophenol	933-78-8	7.08333333333333	Oc1cc(Cl)cc(Cl)c1Cl		1
