Compound	CAS	T_half_air_days	Canonical_smiles	Corrected_names	n_sources
2-propanol, 2-methyl-	25-65-0|75-65-0	7.08333333333333	CC(C)(C)O		2
propanoic acid, 2,2-dichloro-	75-99-0	22.9166666666667	CC(Cl)(Cl)C(=O)O		2
ethane, pentachloro-	76-01-7	708.333333333333	ClC(Cl)C(Cl)(Cl)Cl		2
1-propanol, 2-methyl-	78-83-1	2.29166666666667	CC(C)CO		2
propane, 1,2-dichloro-	78-87-5	22.9166666666667	CC(Cl)CCl		2
2-butanone	78-93-3	7.08333333333333	CCC(C)=O		2
ethene, trichloro-	123919-09-5|79-01-6	7.08333333333333	ClC=C(Cl)Cl		2
2-propenoic acid	55927-87-2|79-10-7|9063-87-0	0.708333333333333	C=CC(=O)O		2
acetic acid, chloro-	79-11-8	22.9166666666667	O=C(O)CCl		2
acetic acid, methyl ester	79-20-9	2.29166666666667	COC(C)=O		2
ethane, 1,1,2,2-tetrachloro-	79-34-5	708.333333333333	ClC(Cl)C(Cl)Cl		2
2-propenoic acid, 2-methyl-, methyl ester	114512-63-9|143476-91-9|51391-19-6|80-62-6|9065-11-6|97555-82-3	0.708333333333333	C=C(C)C(=O)OC		2
1,2-benzenedicarboxylic acid, diethyl ester	84-66-2	7.08333333333333	CCOC(=O)c1ccccc1C(=O)OCC		2
1,2-benzenedicarboxylic acid, dibutyl ester	84-74-2	2.29166666666667	CCCCOC(=O)c1ccccc1C(=O)OCCCC		1
phenanthrene	85-01-8	2.29166666666667	c1ccc2c(c1)ccc1ccccc12		2
1,2-benzenedicarboxylic acid, butyl phenylmethyl ester	85-68-7	2.29166666666667	CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1		2
benzenamine, n-nitroso-n-phenyl-	382165-80-2|86-30-6	0.208333333333333	O=NN(c1ccccc1)c1ccccc1		2
9h-fluorene	86-73-7	2.29166666666667	c1ccc2c(c1)Cc1ccccc1-2		2
benzenamine, 2,6-dimethyl-	87-62-7	0.208333333333333	Cc1cccc(C)c1N		2
phenol, 2,4,6-trichloro-	88-06-2	7.08333333333333	Oc1c(Cl)cc(Cl)cc1Cl		2
benzene, 1-methyl-2-nitro-	1321-12-6|88-72-2	0.708333333333333	Cc1ccccc1[N+](=O)[O-]		2
phenol, 2-nitro-	25154-55-6|78813-12-4|88-75-5	2.29166666666667	O=[N+]([O-])c1ccccc1O		2
1,2-benzenedicarboxylic acid	254110-94-6|57142-78-6|88-99-3	2.29166666666667	O=C(O)c1ccccc1C(=O)O		2
phenol, 2-methoxy-	90-05-1|9009-62-5	0.708333333333333	COc1ccccc1O		2
naphthalene, 1-methyl-	1321-94-4|90-12-0	0.708333333333333	Cc1cccc2ccccc12		2
naphthalene	31807-65-5|91-20-3	0.708333333333333	c1ccc2ccccc2c1		2
quinoline	15793-82-5|15793-83-6|15793-84-7|15793-85-8|15793-86-9|15793-87-0|31177-31-8|54978-41-5|91-22-5	2.29166666666667	c1ccc2ncccc2c1		2
2-naphthalenamine	612-52-2|91-59-8	0.208333333333333	Nc1ccc2ccccc2c1		2
1,1'-biphenyl		2.29166666666667	c1ccc(-c2ccccc2)cc1		1
1,1'-biphenyl -4,4'-diamine		0.208333333333333	Nc1ccc(-c2ccc(N)cc2)cc1		2
acetic acid, (2,4-dichlorophenoxy)-	64296-19-1|94-75-7	0.708333333333333	O=C(O)COc1ccc(Cl)cc1Cl		2
2,4-dichlorophenoxybutyric acid	94-82-6	2.29166666666667	O=C(O)CCCOc1ccc(Cl)cc1Cl		2
benzo b thiophene		7.08333333333333	c1ccc2sccc2c1	benzothiophene	1
benzene, 1,2-dimethyl-	95-47-6	0.708333333333333	Cc1ccccc1C		2
phenol, 2-methyl-	95-48-7	0.208333333333333	Cc1ccccc1O		2
benzene, 1,2-dichloro-	95-50-1	22.9166666666667	Clc1ccccc1Cl		2
benzenamine, 2-chloro-	27134-26-5|95-51-2	2.29166666666667	Nc1ccccc1Cl		2
benzenamine, 2-methyl-	121536-13-8|68408-22-0|95-53-4	0.208333333333333	Cc1ccccc1N		2
benzene, 1,2,4-trimethyl-	95-36-3|95-63-6	0.708333333333333	Cc1ccc(C)c(C)c1		2
benzene, 1,2,4,5-tetramethyl-	15220-27-6|95-93-2	0.708333333333333	Cc1cc(C)c(C)cc1C		2
benzene, 1,2,4,5-tetrachloro-	12408-10-5|63697-22-3|95-94-3	70.8333333333333	Clc1cc(Cl)c(Cl)cc1Cl		2
