Compound	CAS	T_half_sediment_days	Canonical_smiles	Corrected_names	n_sources
benzene, 1-methyl-2,4-dinitro-	121-14-2|1326-41-6|84029-42-5	229.166666666667	Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]		1
benzenamine, n,n-dimethyl-	101357-19-1|121-69-7|86362-18-7	70.8333333333333	CN(C)c1ccccc1		1
malathion	121-75-5	22.9166666666667	CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC		1
1,3,5-triazine-2,4-diamine, 6-chloro-n,n'-diethyl-	122-34-9	229.166666666667	CCN=c1nc(Cl)[nH]c(=NCC)[nH]1		1
benzenamine, n-phenyl-	122-39-4|25656-57-9	70.8333333333333	c1ccc(Nc2ccccc2)cc1		1
propanal	123-38-6|25722-18-3	7.08333333333333	CCC=O		1
butanal	123-72-8|27789-14-6	7.08333333333333	CCCC=O		1
acetic acid, butyl ester	123-86-4	22.9166666666667	CCCCOC(C)=O		1
1,4-dioxane	123-91-1|28552-22-9	70.8333333333333	C1COCCO1		1
decane	116372-01-1|124-18-5|63335-87-5	229.166666666667	CCCCCCCCCC		1
methanamine, n-methyl-	124-40-3|20786-94-1	22.9166666666667	CNC		1
1,3-butadiene, 2-chloro-	126-99-8	229.166666666667	C=CC(=C)Cl		1
pyrene	129-00-0|1346601-04-4|41496-25-7	2291.66666666667	c1cc2ccc3cccc4ccc(c1)c2c34		1
1,2-benzenedicarboxylic acid, dimethyl ester	131-11-3	70.8333333333333	COC(=O)c1ccccc1C(=O)OC		1
dibenzofuran	132-64-9	229.166666666667	c1ccc2c(c1)oc1ccccc12		1
1-naphthalenamine	134-32-7|25168-10-9	70.8333333333333	Nc1cccc2ccccc12		1
thioperoxydicarbonic diamide, tetramethyl-	137-26-8	70.8333333333333	CN(C)C(=S)SSC(=S)N(C)C		1
ethanol, 2-amino-	12220-07-4|12220-09-6|141-43-5	7.08333333333333	NCCO		1
acetic acid ethyl ester	141-78-6	22.9166666666667	CCOC(C)=O		1
cyclopentene	10016-46-3|142-29-0|29300-20-7	70.8333333333333	C1=CCCC1		1
hexanoic acid	142-62-1|56279-38-0	22.9166666666667	CCCCCC(=O)O		1
perylene	198-55-0|69736-15-8	2291.66666666667	c1cc2cccc3c4cccc5cccc(c(c1)c23)c54		1
fluoranthene	206-44-0|76774-50-0	2291.66666666667	c1ccc2c(c1)-c1cccc3cccc-2c13		1
benzo(k)fluoranthene	207-08-9	2291.66666666667	c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12		1
chrysene	218-01-9|65777-08-4	2291.66666666667	c1ccc2c(c1)ccc1c3ccccc3ccc21		1
cyclopentane	287-92-3	70.8333333333333	C1CCCC1		1
cyclo-octane		70.8333333333333	C1CCCCCCC1		1
parathion methyl	298-00-0	70.8333333333333	COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1		1
aldrin	309-00-2	2291.66666666667	ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl		1
diuron	330-54-1	229.166666666667	CN(C)C(O)=Nc1ccc(Cl)c(Cl)c1		1
linuron	330-55-2|56645-87-5	229.166666666667	CON(C)C(O)=Nc1ccc(Cl)c(Cl)c1		1
diazinon	333-41-5	229.166666666667	CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1		1
benzene, fluoro-	462-06-6	70.8333333333333	Fc1ccccc1		1
1h-indene, 2,3-dihydro-	496-11-7|56573-11-6	229.166666666667	c1ccc2c(c1)CCC2		1
benzene, 1,2,3-trimethyl-	25551-13-7|526-73-8	229.166666666667	Cc1cccc(C)c1C		1
phenol, 2-methyl-4,6-dinitro-	534-52-1	229.166666666667	Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O		1
benzene, 1,3-dichloro-	541-73-1|63697-17-6	708.333333333333	Clc1cccc(Cl)c1		1
2,3-dimethylnaphthalene	581-40-8	229.166666666667	Cc1cc2ccccc2cc1C		1
benzene, iodo-	51209-48-4|591-50-4	708.333333333333	Ic1ccccc1		1
2-hexanone	30637-87-7|591-78-6	22.9166666666667	CCCCC(C)=O		1
acetic acid, 2-propenyl ester	29467-34-3|591-87-7	22.9166666666667	C=CCOC(C)=O		1
1,4-pentadiene	591-93-5	70.8333333333333	C=CCC=C		1
formic acid, butyl ester	592-84-7	22.9166666666667	CCCCOC=O		1
benzene, pentachloro-	608-93-5	708.333333333333	Clc1cc(Cl)c(Cl)c(Cl)c1Cl		1
1-propanamine, n-nitroso-n-propyl-	621-64-7	229.166666666667	CCCN(CCC)N=O		1
3-butenoic acid	28391-17-5|625-38-7	22.9166666666667	C=CCC(=O)O		1
1,4-cyclohexadiene	628-41-1	70.8333333333333	C1=CCC=CC1		1
acetic acid, pentyl ester	628-63-7|828-63-7	22.9166666666667	CCCCCOC(C)=O		1
benzene, 1,2,3,4-tetrachloro-	13280-72-3|634-66-2|63697-20-1	708.333333333333	Clc1ccc(Cl)c(Cl)c1Cl		1
benzene, 1,2,3,5-tetrachloro-	634-90-2|63697-21-2	708.333333333333	Clc1cc(Cl)c(Cl)c(Cl)c1		1
1-hexyne	26856-30-4|28827-85-2|693-02-7	70.8333333333333	C#CCCCC		1
carbamothioic acid, dipropyl-, s-ethyl ester	759-94-4	70.8333333333333	CCCN(CCC)C(=O)SCC		1
1-ethylnaphthalene	1127-76-0|27138-19-8|29793-40-6	229.166666666667	CCc1cccc2ccccc12		1
carbofuran	1563-66-2	70.8333333333333	CN=C(O)Oc1cccc2c1OC(C)(C)C2		1
trifluralin	1582-09-8|71281-30-6	229.166666666667	CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]		1
propane, 2-methoxy-2-methyl-	1219795-06-8|1634-04-4	70.8333333333333	COC(C)(C)C		1
2,3,7,8-TCDD	1746-01-6|56795-67-6	2291.66666666667	Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2		1
atrazine	102029-43-6|1912-24-9	70.8333333333333	CCN=c1nc(Cl)[nH]c(=NC(C)C)[nH]1		1
dicamba	1918-00-9|62610-39-3|89300-29-8	70.8333333333333	COc1c(Cl)ccc(Cl)c1C(=O)O		1
decachlorobiphenyl		2291.66666666667	Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl		1
3 chlorobiphenyl		708.333333333333	Clc1cccc(-c2ccccc2)c1		1
diallate	17708-57-5|2303-16-4	229.166666666667	CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C		1
triallate	2303-17-5	22.9166666666667	CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C		1
2-methoxytetrachlorophenol	2539-17-5|97331-56-1	229.166666666667	COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl		1
octachlorodibenzo-p-dioxin	3268-87-9	2291.66666666667	Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2		1
o,p' DDE	3424-82-6	2291.66666666667	ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl		1
2,8-dichlorodibenzofuran	5409-83-6	708.333333333333	Clc1ccc2oc3ccc(Cl)cc3c2c1		1
benzene, 1-chloro-4-phenoxy-	55398-86-2|7005-72-3	70.8333333333333	Clc1ccc(Oc2ccccc2)cc1		1
mecoprop	7085-19-0|93-65-2	70.8333333333333	Cc1cc(Cl)ccc1OC(C)C(=O)O		1
toxaphene	1852481-29-8|8001-35-2	2291.66666666667	C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl		1
benomyl	17804-35-2	229.166666666667	CCCCN=C(O)n1c(N=C(O)OC)nc2ccccc21		1
2,3,4-trichlorobiphenyl		2291.66666666667	Clc1ccc(-c2ccccc2)c(Cl)c1Cl		1
2,3,3',4',5'-pentachlorobiphenyl		2291.66666666667	Clc1cc(-c2cccc(Cl)c2Cl)cc(Cl)c1Cl		1
2,2' dichloro 4 methylbiphenyl		708.333333333333	Cc1ccc(-c2ccccc2Cl)c(Cl)c1		1
3,3',4,4',5,5'-hexachlorobiphenyl		2291.66666666667	Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl		1
2,2',3,3',4,5,6-heptachlorobiphenyl		2291.66666666667	Clc1cccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl		1
1,2,3,4-tetrachlorodibenzo-p-dioxin	30746-58-8	2291.66666666667	Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2		1
isopropalin	33820-53-0	229.166666666667	CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-]		1
2,7-dichlorodibenzo-p-dioxin	33857-26-0	708.333333333333	Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2		2
1,2,3,4,6,7,8-heptchlorodibenzo-p-dioxin		2291.66666666667	Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2		1
2,8-dichlorodibenzo-p-dioxin	38964-22-6	708.333333333333	Clc1ccc2c(c1)Oc1cc(Cl)ccc1O2		1
octachlorodibenzofuran	39001-02-0	2291.66666666667	Clc1c(Cl)c(Cl)c2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c1Cl		1
1,2,4-trichlorodibenzo-p-dioxin	39227-58-2	708.333333333333	Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2		1
1,2,3,4,7-pentachlorodibenzo-p-dioxin	39227-61-7	2291.66666666667	Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2		1
2,3,7,8-TCDF	51207-31-9	2291.66666666667	Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl		1
metolachlor	51218-45-2|82535-90-8	229.166666666667	CCc1cccc(C)c1N(C(=O)CCl)C(C)COC		1
2,2',3,3',4,5,5',6,6'-nonachlorobiphenyl		2291.66666666667	Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl		1
PCB 28*		708.333333333333	Clc1ccc(-c2ccc(Cl)cc2Cl)cc1	2,4,4'-Trichlorobiphenyl	1
PCB 101*		2291.66666666667	Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1	2,2',4,5,5'-Pentachlorobiphenyl	1
PCB 180*		7083.33333333333	Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl	2,2',3,4,4',5,5'-Heptachlorobiphenyl	1
p-cresol*		2.25	Cc1ccc(O)cc1	p-cresol	1
