Compound	CAS	T_half_sediment_days	Canonical_smiles	Corrected_names	n_sources
DIMETHYLARSENIC ACID	75-60-5|917-76-0	30.0	C[As](C)(=O)O		1
FLUCYTHRINATE	70124-77-5	16.0	CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1		1
FLUMEQUINE	42835-25-6	155.0	CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23		1
Furosemide	54-31-9|84931-49-7	20.0	NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl		2
GLYPHOSATE	1071-83-6|81591-81-3|994-61-6	30.5	O=C(O)CNCP(=O)(O)O		1
HEXACHLORONAPHTHALENE	1335-87-1|58877-88-6	180.0	Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl		1
HEXACHLOROPHENE	139411-96-4|70-30-4	290.0	Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl		1
Hydrochlorothiazide	125727-50-6|58-93-5|8049-49-8	28.8	NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O		1
Imazamox	114311-32-9|221298-64-2	142.0	COCc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1		1
KEPONE	143-50-0	312.0	O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl		1
METHANE	14493-06-2|150036-83-2|74-82-8|8006-14-2	70.0	C		1
Methylisothiazolinone	2682-20-4	9.0	Cn1sccc1=O		1
METRONIDAZOLE	443-48-1|56010-45-8	74.5	Cc1ncc([N+](=O)[O-])n1CCO		1
METSULFURON-METHYL	74223-64-6	365.0	COC(=O)c1ccccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1		1
NICLOSAMIDE	50-65-7	3.9	O=[N+]([O-])c1ccc(N=C(O)c2cc(Cl)ccc2O)c(Cl)c1		1
Nicosulfuron	111991-09-4	182.0	COc1cc(OC)nc(N=C(O)NS(=O)(=O)c2ncccc2C(=O)N(C)C)n1		1
NONYLPHENOL		99.0	CCCCCCCCCc1ccccc1O		1
OCTAMETHYLCYCLOTETRASILOXANE	556-67-2	365.0	C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1		1
Octhilinone	26530-20-1	135.0	CCCCCCCCn1sccc1=O		1
OXADIAZON	19666-30-9	577.0	CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl		1
OXALIC ACID	144-62-7	173.0	O=C(O)C(=O)O		1
OXYFLUOROFEN	42874-03-3	17.0	CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]		1
Palmitic acid	1219802-61-5|57-10-3	52.0	CCCCCCCCCCCCCCCC(=O)O		1
P-CHLOROBENZOIC ACID	74-11-3	235.0	O=C(O)c1ccc(Cl)cc1		1
PENTACHLORONITROBENZENE	82-68-8	7.0	O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl		1
PERMETHRIN	52341-32-9|52341-33-0|52645-53-1|82523-59-9|93389-07-2	126.0	CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1		1
PHORATE	298-02-2	1.5	CCOP(=S)(OCC)SCSCC		1
PRIMISULFURON-METHYL	86209-51-0	365.0	COC(=O)c1ccccc1S(=O)(=O)NC(O)=Nc1nc(OC(F)F)cc(OC(F)F)n1		1
PROPACHLOR	1918-16-7	146.0	CC(C)N(C(=O)CCl)c1ccccc1		1
Prosulfuron	94125-34-5	216.0	COc1nc(C)nc(=NC(O)=NS(=O)(=O)c2ccccc2CCC(F)(F)F)[nH]1		1
Prothioconazole	178928-70-6	231.0	OC(Cc1ccccc1Cl)(Cn1[nH]cnc1=S)C1(Cl)CC1		1
Pyrithione zinc	13463-41-7|1698050-37-1|3590-23-6	0.9166667	[O-][n+]1ccccc1[S-].[O-][n+]1ccccc1[S-].[Zn+2]		1
Quinoxyfen	124495-18-7	150.0	Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1		1
RESORCINOL	108-46-3	4.0	Oc1cccc(O)c1		1
SARAFLOXACIN	98105-99-8	300.0	O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O		1
SULPROFOS	35400-43-2	19.5	CCCSP(=S)(OCC)Oc1ccc(SC)cc1		1
TEMEPHOS	3383-96-8	17.2	COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1		1
TERBUTRYNE	886-50-0	180.0	CCN=c1nc(NC(C)(C)C)[nH]c(SC)n1		1
THIFENSULFURON-METHYL	79277-27-3	53.0	COC(=O)c1sccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1		1
THIOBENCARB	28249-77-6	517.0	CCN(CC)C(=O)SCc1ccc(Cl)cc1		1
TRIADIMEFON	43121-43-3	20.0	CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1		1
Triadimenol	55219-65-3	375.0	CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1		1
TRIBUFOS	37251-32-4|78-48-8	180.0	CCCCSP(=O)(SCCCC)SCCCC		1
TRIBUTYLCHLOROSTANNANE	1461-22-9	165.0	[CH2]CCC.[CH2]CCC.[CH2]CCC.[Cl-].[Sn+]		1
TRIISOPROPANOLAMINE	122-20-3	14.3	CC(O)CN(CC(C)O)CC(C)O		1
TRI-M-CRESYL PHOSPHATE	563-04-2	39.0	Cc1cccc(OP(=O)(Oc2cccc(C)c2)Oc2cccc(C)c2)c1		1
TRIMETHOPRIM	738-70-5	100.0	COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC		1
TRIMETHYLTIN CHLORIDE	1066-45-1	140.0	[CH3].[CH3].[CH3].[Cl-].[Sn+]		1
TRI-O-CRESYL PHOSPHATE	1330-78-5|78-30-8	12.0	Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C		1
TRI-P-CRESYL PHOSPHATE	78-32-0	6.7	Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1		1
p, p' - DDT		2291.66666666667	Clc1ccccc1C(c1ccccc1Cl)C(Cl)(Cl)Cl	1,1,1-trichloro-2,2-bis(chlorophenyl)ethane	1
benzo a pyrene		2291.66666666667	c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34	benzo[a]pyrene	1
dibenz(a,h)anthracene	53-70-3	2291.66666666667	c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12		1
benzamide	55-21-0|55738-52-8	22.9166666666667	N=C(O)c1ccccc1		1
tetrachlorometane		708.333333333333	ClC(Cl)(Cl)Cl	tetrachloro methane	1
parathion	56-38-2	70.8333333333333	CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1		1
benz a anthracene		2291.66666666667	c1ccc2cc3c(ccc4ccccc43)cc2c1	benzo[a]anthracene	1
