CAS	Canonical_smiles	T_half_sediment_days
123-38-6	O=CCC	7.083333175670195
71-41-0	OCCCCC	7.083333175670195
108-93-0	OC1CCCCC1	7.083333175670195
111-27-3	OCCCCCC	7.083333175670195
106-44-5	Oc1ccc(cc1)C	7.083333175670195
95-48-7	Oc1ccccc1C	7.083333175670195
100-51-6	OCc1ccccc1	7.083333175670195
111-87-5	OCCCCCCCC	7.083333175670195
76-06-2	O=[N+]([O-])C(Cl)(Cl)Cl	7.083333175670195
100-52-7	O=Cc1ccccc1	7.083333175670195
2303-17-5	O=C(N(C(C)C)C(C)C)SCC(=C(Cl)Cl)Cl	22.916664145292874
121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	22.916664145292874
122-39-4	c1ccc(cc1)Nc2ccccc2	22.916664145292874
108-05-4	O=C(OC=C)C	22.916664145292874
96-22-0	O=C(CC)CC	22.916664145292874
109-60-4	O=C(OCCC)C	22.916664145292874
80-62-6	O=C(OC)C(=C)C	22.916664145292874
108-94-1	O=C1CCCCC1	22.916664145292874
591-78-6	O=C(C)CCCC	22.916664145292874
142-62-1	O=C(O)CCCCC	22.916664145292874
123-86-4	O=C(OCCCC)C	22.916664145292874
120-80-9	Oc1ccccc1(O)	22.916664145292874
110-43-0	O=C(C)CCCCC	22.916664145292874
628-63-7	O=C(OCCCCC)C	22.916664145292874
65-85-0	O=C(O)c1ccccc1	22.916664145292874
69-72-7	O=C(O)c1ccccc1(O)	22.916664145292874
90-05-1	Oc1ccccc1(OC)	22.916664145292874
105-67-9	Oc1ccc(cc1C)C	22.916664145292874
98-86-2	O=C(c1ccccc1)C	22.916664145292874
103-82-2	O=C(O)Cc1ccccc1	22.916664145292874
133-06-2	O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	22.916664145292874
839-90-7	O=C1N(C(=O)N(C(=O)N1CCO)CCO)CCO	45.37932169460929
7085-19-0	O=C(O)C(Oc1ccc(cc1C)Cl)C	70.83333664969537
56-38-2	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	70.83333664969537
114-26-1	O=C(Oc1ccccc1(OC(C)C))NC	70.83333664969537
92-52-4	c1ccc(cc1)c2ccccc2	70.83333664969537
91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	70.83333664969537
101-84-8	O(c1ccccc1)c2ccccc2	70.83333664969537
63-25-2	O=C(Oc1cccc2ccccc12)NC	70.83333664969537
1563-66-2	O=C(Oc2cccc1c2(OC(C)(C)C1))NC	70.83333664969537
7005-72-3	O(c1ccccc1)c2ccc(cc2)Cl	70.83333664969537
85-68-7	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	70.83333664969537
110-00-9	o1cccc1	70.83333664969537
106-99-0	C=CC=C	70.83333664969537
110-75-8	O(C=C)CCCl	70.83333664969537
111-44-4	O(CCCl)CCCl	70.83333664969537
287-92-3	C1CCCC1	70.83333664969537
109-67-1	C=CCCC	70.83333664969537
111-91-1	O(COCCCl)CCCl	70.83333664969537
591-93-5	C=CCC=C	70.83333664969537
110-83-8	C1=CCCCC1	70.83333664969537
693-02-7	C#CCCCC	70.83333664969537
110-82-7	C1CCCCC1	70.83333664969537
96-37-7	CC1CCCC1	70.83333664969537
137-26-8	C(N(C)C)(=S)SSC(N(C)C)=S	70.83333664969537
111-43-3	O(CCC)CCC	70.83333664969537
120-83-2	Oc1ccc(cc1Cl)Cl	70.83333664969537
87-65-0	Oc1c(cccc1Cl)Cl	70.83333664969537
106-48-9	Oc1ccc(cc1)Cl	70.83333664969537
462-06-6	Fc1ccccc1	70.83333664969537
71-43-2	c1ccccc1	70.83333664969537
95-51-2	Nc1ccccc1Cl	70.83333664969537
62-53-3	Nc1ccccc1	70.83333664969537
628-41-1	C1=CCC=CC1	70.83333664969537
108-87-2	CC1CCCCC1	70.83333664969537
100-66-3	O(c1ccccc1)C	70.83333664969537
1897-45-6	N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl	70.83333664969537
298-00-0	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1	70.83333664969537
87-62-7	Nc1c(cccc1C)C	70.83333664969537
1912-24-9	n1c(nc(nc1NC(C)C)Cl)NCC	70.83333664969537
292-64-8	C1CCCCCCC1	70.83333664969537
111-66-0	C=CCCCCCC	70.83333664969537
93-76-5	O=C(O)COc1cc(c(cc1Cl)Cl)Cl	70.83333664969537
1918-00-9	O=C(O)c1c(OC)c(ccc1Cl)Cl	70.83333664969537
94-75-7	O=C(O)COc1ccc(cc1Cl)Cl	70.83333664969537
100-42-5	C=Cc1ccccc1	70.83333664969537
2921-88-2	n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl	70.83333664969537
759-94-4	O=C(N(CCC)CCC)SCC	70.83333664969537
91-22-5	n1cccc2ccccc12	70.83333664969537
131-11-3	O=C(OC)c1ccccc1(C(=O)OC)	70.83333664969537
84-66-2	O=C(OCC)c1ccccc1(C(=O)OCC)	70.83333664969537
84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	70.83333664969537
108-60-1	O(C(C)CCl)C(C)CCl	70.83333664969537
74-97-5	C(Cl)Br	229.16669422050418
95-93-2	c1c(c(cc(c1C)C)C)C	229.16669422050418
2303-16-4	O=C(N(C(C)C)C(C)C)SCC(=CCl)Cl	229.16669422050418
124-18-5	CCCCCCCCCC	229.16669422050418
76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	229.16669422050418
91-20-3	c1ccc2ccccc2(c1)	229.16669422050418
86-30-6	O=NN(c1ccccc1)c2ccccc2	229.16669422050418
333-41-5	n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C	229.16669422050418
132-64-9	o2c1ccccc1c3ccccc23	229.16669422050418
262-12-4	O1c3ccccc3(Oc2ccccc12)	229.16669422050418
1582-09-8	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	229.16669422050418
17804-35-2	O=C(OC)Nc2nc1ccccc1n2(C(=O)NCCCC)	229.16669422050418
51218-45-2	O=C(N(c1c(cccc1CC)C)C(C)COC)CCl	229.16669422050418
33820-53-0	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(C)C	229.16669422050418
72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	229.16669422050418
127-18-4	C(=C(Cl)Cl)(Cl)Cl	229.16669422050418
79-01-6	C(=C(Cl)Cl)Cl	229.16669422050418
110-02-1	c1ccsc1	229.16669422050418
109-66-0	CCCCC	229.16669422050418
110-54-3	CCCCCC	229.16669422050418
4901-51-3	Oc1cc(c(c(c1Cl)Cl)Cl)Cl	229.16669422050418
935-95-5	Oc1c(c(cc(c1Cl)Cl)Cl)Cl	229.16669422050418
58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	229.16669422050418
88-06-2	Oc1c(cc(cc1Cl)Cl)Cl	229.16669422050418
933-78-8	Oc1cc(cc(c1Cl)Cl)Cl	229.16669422050418
95-95-4	Oc1cc(c(cc1Cl)Cl)Cl	229.16669422050418
98-95-3	O=[N+]([O-])c1ccccc1	229.16669422050418
87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	229.16669422050418
122-34-9	n1c(nc(nc1NCC)Cl)NCC	229.16669422050418
2539-17-5	Oc1c(OC)c(c(c(c1Cl)Cl)Cl)Cl	229.16669422050418
121-14-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	229.16669422050418
99-99-0	O=[N+]([O-])c1ccc(cc1)C	229.16669422050418
88-72-2	O=[N+]([O-])c1ccccc1C	229.16669422050418
108-88-3	c1ccc(cc1)C	229.16669422050418
100-41-4	c1ccc(cc1)CC	229.16669422050418
106-42-3	c1cc(ccc1C)C	229.16669422050418
108-38-3	c1cc(cc(c1)C)C	229.16669422050418
95-47-6	c1ccc(c(c1)C)C	229.16669422050418
111-65-9	CCCCCCCC	229.16669422050418
95-15-8	c1ccc2c(c1)ccs2	229.16669422050418
496-11-7	c1ccc2c(c1)CCC2	229.16669422050418
330-54-1	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	229.16669422050418
330-55-2	O=C(Nc1ccc(c(c1)Cl)Cl)N(OC)C	229.16669422050418
103-65-1	c1ccc(cc1)CCC	229.16669422050418
95-63-6	c1cc(c(cc1C)C)C	229.16669422050418
108-67-8	c1c(cc(cc1C)C)C	229.16669422050418
526-73-8	c1cc(c(c(c1)C)C)C	229.16669422050418
98-82-8	c1ccc(cc1)C(C)C	229.16669422050418
75-27-4	C(Cl)(Cl)Br	229.16669422050418
90-12-0	c1ccc2c(c1)cccc2C	229.16669422050418
1127-76-0	c1ccc2c(c1)cccc2CC	229.16669422050418
581-40-8	c1ccc2cc(c(cc2(c1))C)C	229.16669422050418
2131-41-1	c1cc2c(c(c1)C)c(ccc2C)C	229.16669422050418
75-01-4	C=CCl	229.16669422050418
5409-83-6	o2c1ccc(cc1c3cc(ccc23)Cl)Cl	708.3332033971869
2050-67-1	c1cc(cc(c1)Cl)c2cccc(c2)Cl	708.3332033971869
86-73-7	c1ccc3c(c1)c2ccccc2C3	708.3332033971869
120-12-7	c1ccc2cc3ccccc3(cc2(c1))	708.3332033971869
85-01-8	c1ccc3c(c1)ccc2ccccc23	708.3332033971869
67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	708.3332033971869
79-34-5	C(C(Cl)Cl)(Cl)Cl	708.3332033971869
107-06-2	C(CCl)Cl	708.3332033971869
75-00-3	CCCl	708.3332033971869
76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	708.3332033971869
96-18-4	C(C(CCl)Cl)Cl	708.3332033971869
78-87-5	CC(CCl)Cl	708.3332033971869
634-66-2	c1cc(c(c(c1Cl)Cl)Cl)Cl	708.3332033971869
95-94-3	c1c(c(cc(c1Cl)Cl)Cl)Cl	708.3332033971869
634-90-2	c1c(cc(c(c1Cl)Cl)Cl)Cl	708.3332033971869
120-82-1	c1cc(c(cc1Cl)Cl)Cl	708.3332033971869
108-70-3	c1c(cc(cc1Cl)Cl)Cl	708.3332033971869
87-61-6	c1cc(c(c(c1)Cl)Cl)Cl	708.3332033971869
106-46-7	c1cc(ccc1Cl)Cl	708.3332033971869
541-73-1	c1cc(cc(c1)Cl)Cl	708.3332033971869
95-50-1	c1ccc(c(c1)Cl)Cl	708.3332033971869
108-86-1	c1ccc(cc1)Br	708.3332033971869
108-90-7	c1ccc(cc1)Cl	708.3332033971869
591-50-4	c1ccc(cc1)I	708.3332033971869
608-93-5	c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	708.3332033971869
116-06-3	O=C(ON=CC(C)(C)SC)NC	708.3332033971869
75-25-2	C(Br)(Br)Br	708.3332033971869
83-32-9	c2cc1cccc3c1c(c2)CC3	708.3332033971869
39227-58-2	O1c3ccccc3(Oc2c1c(cc(c2Cl)Cl)Cl)	708.3332033971869
33857-26-0	O1c3ccc(cc3(Oc2ccc(cc12)Cl))Cl	708.3332033971869
38964-22-6	O1c3ccc(cc3(Oc2cc(ccc12)Cl))Cl	708.3332033971869
39227-53-7	O1c3ccccc3(Oc2c1cccc2Cl)	708.3332033971869
39227-54-8	O1c3ccccc3(Oc2cc(ccc12)Cl)	708.3332033971869
33284-50-3	c1ccc(cc1)c2ccc(cc2Cl)Cl	708.3332033971869
34883-39-1	c1ccc(cc1)c2cc(ccc2Cl)Cl	708.3332033971869
2050-68-2	c1cc(ccc1c2ccc(cc2)Cl)Cl	708.3332033971869
13029-08-8	c1ccc(c(c1)c2ccccc2Cl)Cl	708.3332033971869
2051-61-8	c1ccc(cc1)c2cccc(c2)Cl	708.3332033971869
