fragment_smiles,frequency,mean_activity,activity_std
O=NN(c1ccccc1)c1ccccc1,1,70.833,
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1,27.0,
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,1,4.4,
Cc1cc(C)cc(C)c1,1,70.833,
Cc1cc2ccccc2cc1C,1,70.833,
Cc1ccc(C)cc1,1,70.833,
Cc1ccc(Cl)c(O)c1,1,2.1,
Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,1,1.0,
Cc1ccc2nc3sc(=O)sc3nc2c1,1,3.7,
Cc1ccccc1N,1,2.292,
Cc1ccccc1O,1,11.3,
Cc1cccnc1,1,70.833,
ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,1,182.0,
ClC=CCl,1,23.0,
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,2291.667,
Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,1,708.333,
Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,1,708.333,
Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,1,229.167,
Clc1ccc2ccccc2c1,1,79.0,
Clc1cccc(Cl)c1,1,229.167,
N#Cc1cc(Br)c(O)c(Br)c1,1,10.0,
N=c1cc[nH]cc1,1,960.0,
Nc1ccc(Cl)cc1,1,7.083,
Nc1ccccc1,1,7.083,
COC(O)=Nc1nc2ccccc2[nH]1,1,34.0,
COC(O)=Nc1ccc(Cl)c(Cl)c1,1,42.0,
CO,1,2.292,
CC1CCCCC1,1,22.917,
C=CC(=C)C,1,0.25,
C=CCC(=O)O,1,7.083,
C=CCC=C,1,22.917,
C=CCCC,1,22.917,
C=CCN=C=S,1,2.0,
CC(=N)S,1,7.083,
CC(=O)CC(C)C,1,7.083,
CC(Cl)CCl,1,229.167,
CC(Cl)Cl,1,115.0,
CC1=NN=C(O)N(N=Cc2cccnc2)C1,1,38.0,
CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,1,120.0,
CNC,1,23.0,
CCC=O,1,2.292,
CCCCC(C)=O,1,7.083,
CCCCCCCC,1,70.833,
CCCCCCCCCCCCCCCCCC(=O)O,1,13.025,
CCCCCCCCO,1,2.292,
CCCCCO,1,2.292,
CCCCN(CCCC)N=O,1,21.0,
CN(C)C(=S)SSC(=S)N(C)C,1,22.917,
CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],1,90.0,
