class_value,log10_class,log10_lower,log10_upper
0.5541667,-0.25635957462154463,-0.26954440344531766,-0.2431747457977716
0.69,-0.16115090926274472,-0.17433573808651776,-0.1479660804389717
1.01666,0.007175736785117942,-0.006009092038655089,0.020360565608890973
1.1,0.04139268515822508,0.028207856334452046,0.05457751398199811
1.333333,0.12493862803466593,0.1117537992108929,0.13812345685843896
1.5,0.17609125905568124,0.1629064302319082,0.18927608787945427
2.1,0.3222192947339193,0.30903446591014627,0.33540412355769234
2.25,0.3521825181113625,0.33899768928758944,0.3653673469351355
2.4,0.38021124171160603,0.367026412887833,0.39339607053537906
2.9,0.4623979978989561,0.44921316907518305,0.4755828267227291
3.2,0.505149978319906,0.491965149496133,0.5183348071436791
3.3,0.5185139398778874,0.5053291110541144,0.5316987687016604
3.9,0.5910646070264992,0.5778797782027262,0.6042494358502722
4.0,0.6020599913279624,0.5888751625041894,0.6152448201517354
5.0,0.6989700043360189,0.6857851755122458,0.7121548331597919
6.0,0.7781512503836436,0.7649664215598706,0.7913360792074167
6.6,0.8195439355418687,0.8063591067180956,0.8327287643656417
6.7,0.8260748027008264,0.8128899738770534,0.8392596315245995
6.9,0.8388490907372553,0.8256642619134823,0.8520339195610284
7.0,0.8450980400142568,0.8319132111904838,0.8582828688380298
7.083333175670195,0.85023767,0.8370528411762269,0.863422498823773
7.08333333333333,0.8502376796666677,0.8370528508428947,0.8634225084904408
7.416667,0.8702087801161407,0.8570239512923676,0.8833936089399137
9.0,0.9542425094393249,0.9410576806155518,0.9674273382630979
9.41,0.973589623427257,0.9604047946034839,0.98677445225103
10.0,1.0,0.986815171176227,1.013184828823773
12.0,1.0791812460476249,1.0659964172238519,1.092366074871398
14.3,1.1553360374650619,1.1421512086412888,1.168520866288835
15.0,1.1760912590556813,1.1629064302319083,1.1892760878794544
16.0,1.2041199826559248,1.1909351538321518,1.2173048114796978
17.0,1.2304489213782739,1.2172640925545009,1.243633750202047
17.2,1.235528446907549,1.222343618083776,1.248713275731322
19.5,1.290034611362518,1.276849782538745,1.303219440186291
20.0,1.3010299956639813,1.2878451668402082,1.3142148244877543
