class_value,log10_class,log10_lower,log10_upper
0.087,-1.0604807473813815,-1.06510929759735,-1.0558521971654131
0.08875,-1.0518316382728683,-1.056460188488837,-1.0472030880568997
0.12,-0.9208187539523752,-0.9254473041683438,-0.9161902037364067
0.13,-0.8860566476931632,-0.8906851979091317,-0.8814280974771946
0.166666666666667,-0.7781512503836427,-0.7827798005996113,-0.7735227001676742
0.2083333,-0.6812413068627099,-0.6858698570786784,-0.6766127566467414
0.25,-0.6020599913279624,-0.6066885415439309,-0.5974314411119939
0.29,-0.5376020021010439,-0.5422305523170124,-0.5329734518850754
0.32,-0.494850021680094,-0.49947857189606254,-0.4902214714641255
0.38,-0.42021640338318983,-0.42484495359915836,-0.4155878531672213
0.3958333,-0.4024876729949267,-0.40711622321089525,-0.3978591227789582
0.46,-0.3372421683184259,-0.34187071853439444,-0.3326136181024574
0.5,-0.3010299956639812,-0.30565854587994973,-0.29640144544801267
0.625,-0.2041199826559248,-0.20874853287189332,-0.19949143243995626
0.83,-0.08092190762392612,-0.08555045783989465,-0.07629335740795759
1.0,0.0,-0.00462855021596853,0.00462855021596853
1.04,0.01703333929878037,0.01240478908281184,0.0216618895147489
1.2,0.07918124604762482,0.07455269583165629,0.08380979626359335
1.3,0.11394335230683679,0.10931480209086826,0.11857190252280532
1.4,0.146128035678238,0.14149948546226948,0.15075658589420654
1.5,0.17609125905568124,0.1714627088397127,0.18071980927164977
1.7,0.2304489213782739,0.22582037116230538,0.23507747159424244
1.875,0.27300127206373764,0.2683727218477691,0.2776298222797062
2.0,0.3010299956639812,0.29640144544801267,0.30565854587994973
2.1,0.3222192947339193,0.3175907445179508,0.32684784494988783
2.29166666666667,0.36015144778263847,0.35552289756666994,0.364779997998607
2.3,0.36172783601759284,0.3570992858016243,0.36635638623356137
2.5,0.3979400086720376,0.3933114584560691,0.40256855888800613
2.7,0.43136376415898736,0.42673521394301883,0.4359923143749559
3.0,0.47712125471966244,0.4724927045036939,0.48174980493563097
3.2,0.505149978319906,0.5005214281039375,0.5097785285358746
3.208333,0.506279438339369,0.5016508881234004,0.5109079885553375
3.5,0.5440680443502757,0.5394394941343071,0.5486965945662442
3.7,0.568201724066995,0.5635731738510265,0.5728302742829635
3.9,0.5910646070264992,0.5864360568105307,0.5956931572424677
4.0,0.6020599913279624,0.5974314411119939,0.6066885415439309
4.4,0.6434526764861874,0.6388241262702189,0.648081226702156
4.7,0.6720978579357175,0.667469307719749,0.676726408151686
5.0,0.6989700043360189,0.6943414541200503,0.7035985545519874
5.2,0.7160033436347992,0.7113747934188307,0.7206318938507678
5.3,0.724275869600789,0.7196473193848205,0.7289044198167576
5.8,0.7634279935629372,0.7587994433469687,0.7680565437789058
6.0,0.7781512503836436,0.7735227001676751,0.7827798005996122
6.4,0.8061799739838872,0.8015514237679187,0.8108085241998557
6.6,0.8195439355418687,0.8149153853259001,0.8241724857578372
7.0,0.8450980400142568,0.8404694897982883,0.8497265902302253
7.08333333333333,0.8502376796666677,0.8456091294506992,0.8548662298826363
7.5,0.8750612633917001,0.8704327131757316,0.8796898136076686
7.6,0.8808135922807914,0.8761850420648228,0.8854421424967599
8.0,0.9030899869919435,0.898461436775975,0.9077185372079121
8.4,0.9242792860618817,0.9196507358459132,0.9289078362778502
8.8,0.9444826721501687,0.9398541219342001,0.9491112223661372
9.0,0.9542425094393249,0.9496139592233563,0.9588710596552934
9.32,0.9694159123539814,0.9647873621380129,0.9740444625699499
9.5,0.9777236052888477,0.9730950550728792,0.9823521555048162
9.6,0.9822712330395684,0.9776426828235999,0.986899783255537
9.7,0.9867717342662449,0.9821431840502763,0.9914002844822134
9.9,0.9956351945975499,0.9910066443815814,1.0002637448135183
10.0,1.0,0.9953714497840315,1.0046285502159686
11.0,1.0413926851582251,1.0367641349422567,1.0460212353741936
11.3,1.0530784434834197,1.0484498932674513,1.0577069936993881
11.5,1.0606978403536116,1.0560692901376432,1.06532639056958
11.7,1.0681858617461617,1.063557311530193,1.0728144119621303
12.0,1.0791812460476249,1.0745526958316565,1.0838097962635933
12.4,1.0934216851622351,1.0887931349462665,1.0980502353782038
13.0,1.1139433523068367,1.1093148020908683,1.1185719025228051
13.025,1.1147777319715622,1.1101491817555935,1.1194062821875308
14.0,1.146128035678238,1.1414994854622695,1.1507565858942064
14.7,1.167317334748176,1.1626887845322074,1.1719458849641446
14.9,1.173186268412274,1.1685577181963054,1.1778148186282427
15.0,1.1760912590556813,1.1714627088397127,1.18071980927165
16.0,1.2041199826559248,1.1994914324399564,1.2087485328718932
17.5,1.2430380486862944,1.2384094984703258,1.247666598902263
18.0,1.255272505103306,1.2506439548873374,1.2599010553192747
18.4,1.2648178230095364,1.2601892727935677,1.269446373225505
18.7,1.271841606536499,1.2672130563205304,1.2764701567524677
19.0,1.2787536009528289,1.2741250507368602,1.2833821511687975
20.0,1.3010299956639813,1.2964014454480126,1.30565854587995
20.5,1.3117538610557542,1.3071253108397856,1.3163824112717228
21.0,1.3222192947339193,1.3175907445179509,1.3268478449498877
22.5,1.3521825181113625,1.347553967895394,1.356811068327331
22.9166666666667,1.3601514477826384,1.35552289756667,1.3647799979986068
23.0,1.3617278360175928,1.3570992858016244,1.3663563862335613
24.0,1.380211241711606,1.3755826914956373,1.3848397919275746
24.5,1.3891660843645324,1.384537534148564,1.3937946345805008
25.0,1.3979400086720377,1.3933114584560693,1.4025685588880061
26.0,1.414973347970818,1.4103447977548496,1.4196018981867864
26.9,1.429752280002408,1.4251237297864394,1.4343808302183767
27.0,1.4313637641589874,1.4267352139430187,1.435992314374956
28.0,1.4471580313422192,1.4425294811262508,1.4517865815581876
30.0,1.4771212547196624,1.472492704503694,1.4817498049356308
31.7,1.5010592622177514,1.496430712001783,1.5056878124337199
32.1,1.506505032404872,1.5018764821889037,1.5111335826208405
33.6,1.526339277389844,1.5217107271738755,1.5309678276058127
34.0,1.5314789170422551,1.5268503668262867,1.5361074672582236
35.0,1.5440680443502757,1.539439494134307,1.5486965945662443
36.0,1.5563025007672873,1.5516739505513186,1.560931050983256
37.0,1.568201724066995,1.5635731738510263,1.5728302742829636
38.0,1.5797835966168101,1.5751550464008415,1.5844121468327788
39.0,1.591064607026499,1.5864360568105305,1.5956931572424677
40.0,1.6020599913279623,1.5974314411119939,1.6066885415439307
40.5,1.6074550232146685,1.6028264729987,1.612083573430637
42.0,1.6232492903979006,1.6186207401819321,1.627877840613869
42.4,1.6273658565927327,1.6227373063767643,1.6319944068087011
42.6,1.6294095991027189,1.6247810488867502,1.6340381493186875
44.0,1.6434526764861874,1.6388241262702188,1.648081226702156
44.1,1.6444385894678386,1.63981003925187,1.6490671396838072
46.0,1.662757831681574,1.6581292814656057,1.6673863818975425
47.0,1.6720978579357175,1.6674693077197489,1.6767264081516862
47.3,1.6748611407378116,1.670232590521843,1.6794896909537802
49.0,1.6901960800285136,1.6855675298125452,1.694824630244482
49.7,1.6963563887333322,1.6917278385173637,1.7009849389493006
50.0,1.6989700043360187,1.69434145412005,1.7035985545519874
51.0,1.7075701760979363,1.7029416258819676,1.712198726313905
52.0,1.7160033436347992,1.7113747934188308,1.7206318938507676
52.2,1.717670503002262,1.7130419527862935,1.7222990532182307
53.0,1.724275869600789,1.7196473193848205,1.7289044198167574
54.0,1.7323937598229686,1.727765209607,1.7370223100389373
55.0,1.7403626894942439,1.7357341392782755,1.7449912397102123
55.3,1.7427251313046983,1.7380965810887297,1.747353681520667
56.0,1.7481880270062005,1.743559476790232,1.7528165772221689
58.0,1.7634279935629373,1.7587994433469687,1.768056543778906
58.7,1.7686381012476144,1.7640095510316458,1.773266651463583
60.0,1.7781512503836436,1.7735227001676752,1.782779800599612
61.0,1.7853298350107671,1.7807012847947985,1.7899583852267358
65.0,1.8129133566428555,1.808284806426887,1.8175419068588239
66.0,1.8195439355418688,1.8149153853259001,1.8241724857578374
68.0,1.8325089127062364,1.827880362490268,1.8371374629222048
70.0,1.845098040014257,1.8404694897982883,1.8497265902302256
70.8333333333333,1.8502376796666677,1.845609129450699,1.8548662298826364
71.0,1.8512583487190752,1.8466297985031068,1.8558868989350437
72.0,1.8573324964312685,1.8527039462152999,1.8619610466472372
75.4,1.877371345869774,1.8727427956538056,1.8819998960857425
76.0,1.8808135922807914,1.8761850420648227,1.88544214249676
77.0,1.8864907251724818,1.8818621749565132,1.8911192753884505
77.9,1.8915374576725645,1.8869089074565961,1.896166007888533
79.0,1.8976270912904414,1.8929985410744727,1.90225564150641
81.5,1.9111576087399766,1.9065290585240082,1.915786158955945
82.0,1.9138138523837167,1.909185302167748,1.9184424025996853
83.0,1.919078092376074,1.9144495421601055,1.9237066425920424
84.0,1.9242792860618816,1.919650735845913,1.9289078362778502
85.1,1.9299295600845878,1.9253010098686194,1.9345581103005562
85.2,1.9304395947667001,1.9258110445507315,1.9350681449826688
86.0,1.9344984512435677,1.9298699010275993,1.939127001459536
86.6,1.9375178920173466,1.9328893418013782,1.942146442233315
87.0,1.9395192526186185,1.93489070240265,1.9441478028345869
87.2,1.9405164849325673,1.935887934716599,1.9451450351485358
87.7,1.9429995933660404,1.938371043150072,1.9476281435820089
88.5,1.9469432706978254,1.942314720481857,1.9515718209137938
89.0,1.9493900066449128,1.9447614564289442,1.9540185568608814
90.0,1.954242509439325,1.9496139592233566,1.9588710596552934
91.2,1.9599948383284163,1.9553662881124478,1.9646233885443847
92.0,1.9637878273455553,1.959159277129587,1.9684163775615238
93.0,1.968482948553935,1.9638543983379666,1.9731114987699034
95.0,1.9777236052888478,1.9730950550728794,1.9823521555048162
97.0,1.9867717342662448,1.9821431840502761,1.9914002844822134
99.0,1.99563519459755,1.9910066443815815,2.0002637448135183
100.0,2.0,1.9953714497840314,2.0046285502159686
105.0,2.0211892990699383,2.0165607488539696,2.025817849285907
110.0,2.041392685158225,2.0367641349422563,2.0460212353741936
111.0,2.0453229787866576,2.040694428570689,2.0499515290026262
115.0,2.060697840353612,2.056069290137643,2.0653263905695805
116.0,2.0644579892269186,2.05982943901095,2.0690865394428872
119.0,2.0755469613925306,2.070918411176562,2.0801755116084992
119.6,2.077731179652392,2.0731026294364234,2.0823597298683607
120.0,2.0791812460476247,2.074552695831656,2.0838097962635933
121.3,2.083860800866573,2.0792322506506045,2.0884893510825417
122.0,2.0863598306747484,2.0817312804587798,2.090988380890717
126.0,2.100370545117563,2.0957419949015943,2.1049990953335316
127.0,2.103803720955957,2.099175170739988,2.1084322711719254
129.0,2.110589710299249,2.10596116008328,2.1152182605152174
130.0,2.113943352306837,2.1093148020908683,2.1185719025228056
