fragment_smiles,frequency,mean_activity,activity_std
C1CCC2C(C1)CCC1C3CCCCC3CCC21,1,117.0,
C1CCC2CCCC2C1,1,18.9,
C1CCCCC1,1,22.917,
C=C=CC,1,7.0,
C=CC=C,1,7.083,
C=CCCCCCC,1,7.083,
C=Cc1ccccc1,1,7.083,
CC(C)C,1,17.1,
CC(C)O,1,2.292,
CC(O)=Nc1ccc(O)cc1,1,58.33,
CC1CCC2CC(C)C(C)CC2C1,1,33.5,
CC1CCC2CC3CCCCC3CC2C1,1,33.2,
CC1CCCC1,1,27.5,
CC=O,1,2.292,
CCC#N,1,22.917,
CCC(=O)CC,1,7.083,
CCC(C)C,1,2.4,
CCC(C)CC,1,10.1,
CCC(C)CC(C)CC,1,8.1,
CCCO,1,2.292,
CCN=c1nc(Cl)[nH]c(=NC(C)C)[nH]1,1,708.333,
CCO,1,2.292,
CN(C)C(=S)SSC(=S)N(C)C,1,7.083,
ClC(Cl)C(Cl)(Cl)Cl,1,70.833,
ClC(Cl)C(Cl)Cl,1,70.833,
ClC=C(Cl)Cl,1,22.917,
ClCBr,1,22.917,
Clc1cc(Cl)c(Cl)cc1Cl,1,229.167,
Clc1cc(Cl)cc(Cl)c1,1,70.833,
Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,1,70.833,
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1,22.917,
Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,1,22.917,
Clc1ccc(Cl)c(Cl)c1,1,70.833,
Clc1ccc(Cl)c(Cl)c1Cl,1,229.167,
Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,1,22.917,
Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,0.8,
N=C(O)N1c2ccccc2C=Cc2ccccc21,1,63.0,
NC1CCCCC1,1,2.292,
Nc1ccc2ccccc2c1,1,7.083,
Nc1ccccc1Cl,1,7.083,
O=S(=O)(O)c1ccccc1,1,7.5,
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,4.3,
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1,68.0,
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,1,22.917,
ClC(Cl)Br,1,22.917,
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,1,300.0,
Cc1ccncc1,1,22.917,
Cc1cc2ccccc2c2ccccc12,1,4.2,
CN(C)C(O)=Nc1ccc(Cl)c(Cl)c1,1,22.917,
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1,365.0,
COC=O,1,2.292,
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1,2.5,
C[C@@H]1CCC[C@H](C)C1,1,8.1,
C[C@@H]1CCC[C@H]1C,1,10.4,
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O,1,2.9,
Cc1cc(C)c(C)cc1C,1,22.917,
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1,7.083,
Cc1cc2ccccc2cc1C,1,7.083,
Cc1cccnc1,1,22.917,
Cc1ccc(C)c(C)c1C,1,2.75,
Cc1ccc(N)cc1Cl,1,0.062,
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,2.292,
Cc1ccc2c(c1)CCC2,1,3.9,
Cc1ccc2c(c1)CCCC2(C)C,1,3.06,
Cc1ccc2c(ccc3ccccc32)c1,1,4.2,
Cc1ccc2ccc3cccc4ccc1c2c34,1,64.0,
Cc1ccc2ccc3ccccc3c2c1,1,4.2,
Cc1ccccc1,1,22.917,
c1ccccc1,1,7.083,
