smiles,split,leverage_h,h_star,in_ad_leverage,in_interval,interval_loss
Oc1c(Br)cccc1Br,train,0.24928244082244663,1.3655172413793104,True,True,0.0
Oc1cccc(Cl)c1,train,0.08649895503732892,1.3655172413793104,True,False,0.303064370102051
CC(Cl)(Cl)C(=O)O,train,0.2979916747087938,1.3655172413793104,True,False,0.6760830813015057
O=Cc1ccccc1,train,0.1172735020980561,1.3655172413793104,True,False,1.2723629268478314
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl,train,0.9054567234457452,1.3655172413793104,True,False,1.3160880069868752
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl,train,0.15230149827668296,1.3655172413793104,True,False,2.3281470401030004
CC1CCCC1,train,0.07998768207451562,1.3655172413793104,True,False,0.9642512323111085
Fc1ccccc1,train,0.07286120311964303,1.3655172413793104,True,False,0.6884576765973169
Clc1cccc(Cl)c1Cl,train,0.06763107289510042,1.3655172413793104,True,False,0.13218253037077687
Cc1cc2ccccc2cc1C,train,0.5822811729642231,1.3655172413793104,True,False,0.30396345203425046
COC(=O)c1ccccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1,train,0.3631107864875809,1.3655172413793104,True,True,0.0
Oc1cccc(O)c1,train,0.2818345608411958,1.3655172413793104,True,False,2.6995728226684523
C1CCCC1,train,0.4394321554142509,1.3655172413793104,True,True,0.0
CC(C)(C)O,train,0.8591731976297756,1.3655172413793104,True,False,0.7090325611729762
O=C(O)c1ccccc1Cl,train,0.6646691618916519,1.3655172413793104,True,False,0.7940700299998635
Oc1c(Cl)cc(Cl)cc1Cl,train,0.06686961545468356,1.3655172413793104,True,False,0.18397293617477883
CCO,train,0.5621981134474217,1.3655172413793104,True,False,1.1942350565528146
Oc1cc(Cl)cc(Cl)c1,train,0.08374856366561224,1.3655172413793104,True,False,0.29707528294026675
Cc1cc(Cl)ccc1OC(C)C(=O)O,train,0.12716818654910286,1.3655172413793104,True,False,1.186238770658584
Nc1ccc(Br)cc1,train,0.360770358575175,1.3655172413793104,True,True,0.0
C1COCCO1,train,0.26621487875128735,1.3655172413793104,True,False,1.1859421217947181
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,train,0.40535745966267356,1.3655172413793104,True,False,0.8058509476064915
ClC(Cl)C(Cl)Cl,train,0.5214582679563268,1.3655172413793104,True,False,0.8005600682091891
CN=C(O)Oc1ccccc1OC(C)C,train,0.3255995048794156,1.3655172413793104,True,False,0.8166521061007159
ClCCOCCCl,train,0.7136608652827733,1.3655172413793104,True,False,0.18615153596465284
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,train,0.07478827505012577,1.3655172413793104,True,False,0.7446293887199711
CC(=O)c1ccccc1,train,0.5325161485706279,1.3655172413793104,True,False,0.31602520701493475
CNC(=O)ON=CC(C)(C)SC,train,0.04864704087180188,1.3655172413793104,True,False,0.15751470778854149
Clc1ccccc1-c1ccccc1Cl,train,0.14840610308516566,1.3655172413793104,True,False,0.2446966444546721
O=C(O)CCl,train,0.18472995711772555,1.3655172413793104,True,False,0.1860402526164786
CCCCCCO,train,0.5960653655116237,1.3655172413793104,True,False,0.17445159462805737
Cc1ccccc1N,train,0.5147952164519516,1.3655172413793104,True,False,0.6638757490200751
CCCO,train,0.43435197303732126,1.3655172413793104,True,False,1.678582920702792
C=CC(=C)Cl,train,0.7543105443714933,1.3655172413793104,True,False,0.32338928515206367
CCC#N,train,0.3184503785333593,1.3655172413793104,True,False,0.1859389940795695
Oc1c(Cl)c(Cl)cc(Cl)c1Cl,train,0.13412327650233086,1.3655172413793104,True,False,0.24049945612140222
c1ccc2c(c1)ccc1ccccc12,train,0.3128088854450486,1.3655172413793104,True,False,0.820921350139608
CCCCCOC(C)=O,train,0.3174938161521662,1.3655172413793104,True,False,1.6889810937177527
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,train,0.6374026038999631,1.3655172413793104,True,True,0.0
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,train,0.27682465205447304,1.3655172413793104,True,False,0.7938627938339216
c1ccc2c(c1)Cc1ccccc1-2,train,0.1468987434436409,1.3655172413793104,True,False,0.29071233439655497
Clc1ccc(-c2ccc(Cl)cc2)cc1,train,0.10939225861585744,1.3655172413793104,True,False,0.24261942164645234
CCc1cccc2ccccc12,train,0.9965517241379391,1.3655172413793104,True,False,0.688879002394641
Cc1ncc([N+](=O)[O-])n1CCO,train,0.6480689507607504,1.3655172413793104,True,True,0.0
CC(=O)O,train,0.49871479138959257,1.3655172413793104,True,True,0.0
c1ccc2ncccc2c1,train,0.6515929848738249,1.3655172413793104,True,True,0.0
Cc1ccccc1O,train,0.18464819351652195,1.3655172413793104,True,False,1.174109574351801
Oc1cc(Cl)ccc1Cl,train,0.076727961460844,1.3655172413793104,True,True,0.0
ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl,train,0.6910256102073161,1.3655172413793104,True,False,0.805354647122912
Nc1cccc2ccccc12,train,0.9104562942144989,1.3655172413793104,True,False,0.1859638644340289
CCCCC(CC)C(=O)O,train,0.4604760458747875,1.3655172413793104,True,True,0.0
C=Cc1ccccc1,train,0.6155947445584002,1.3655172413793104,True,True,0.0
CC(=N)O,train,0.15849871684584393,1.3655172413793104,True,False,0.315345162046367
CCCSP(=S)(OCC)Oc1ccc(SC)cc1,train,0.5794849259511825,1.3655172413793104,True,True,0.0
C=CCO,train,0.7528398322676453,1.3655172413793104,True,True,0.0
CCNc1nc(Cl)nc(NCC)n1,train,0.05607307277331716,1.3655172413793104,True,False,0.7802659210960301
COCCl,train,0.4046930618963306,1.3655172413793104,True,False,0.3104645956210854
