fragment_smiles,frequency,mean_activity,activity_std
CCC(C)CCCC(C)CCCC(C)C,1,3.5,
CCCO,1,2.292,
CN(C)C(=S)SSC(=S)N(C)C,1,7.083,
Oc1ccccc1Cl,1,5.83,
CN(C)C(O)=Nc1ccc(Cl)c(Cl)c1,1,22.917,
Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,1,7.083,
Clc1cc(Cl)cc(Cl)c1,1,70.833,
Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,1,70.833,
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1,22.917,
Clc1ccc(Cl)c(Cl)c1,1,70.833,
Clc1ccc(Cl)c(Cl)c1Cl,1,229.167,
Clc1ccc2oc3ccc(Cl)cc3c2c1,1,22.917,
Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,0.8,
N#Cc1c(Cl)cccc1Cl,1,1022.0,
NC1CCCCC1,1,2.292,
NCCO,1,2.292,
Nc1ccc2ccccc2c1,1,7.083,
Nc1ccccc1Cl,1,7.083,
O=C1CCCCC1,1,7.083,
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1,4.3,
OCCO,1,2.292,
Oc1cc(Cl)c(Cl)cc1Cl,1,7.083,
Oc1cccc(Br)c1,1,147.0,
Oc1cccc(Cl)c1,1,36.0,
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,1,22.917,
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,1,229.167,
ClCBr,1,22.917,
Cc1ccc([N+](=O)[O-])cc1,1,2.292,
CNC,1,2.292,
COC=O,1,2.292,
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1,2.5,
C[C@@H]1CCCC[C@H]1C,1,8.1,
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O,1,2.9,
Cc1c2ccccc2cc2c1ccc1ccccc12,1,4.65,
Cc1ccc(C)cc1,1,22.917,
Cc1ccc(N)cc1Cl,1,0.062,
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,2.292,
ClC=C(Cl)Cl,1,22.917,
Cc1ccc2c(c1)CCC2,1,3.9,
Cc1ccc2ccc3cccc4ccc1c2c34,1,64.0,
Cc1cccc2c1CCCC2,1,3.9,
Cc1ccccc1,1,22.917,
Cc1ccccc1N,1,2.292,
Cc1ccccc1O,1,29.0,
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,1,300.0,
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl,1,2291.667,
c1ccccc1,1,7.083,
