scaffold_smiles,n_samples,coverage_pct,rmse,r2,mean_error
,61,38.61,31.452,0.558,-4.329
c1ccccc1,38,24.05,186.44,-0.057,-41.528
C1CCCCC1,6,3.8,8.44,-0.011,-4.417
c1ccc2c(c1)Oc1ccccc1O2,5,3.16,75.79,0.148,-37.062
c1ccc(-c2ccccc2)cc1,4,2.53,580.261,0.611,-312.022
c1ccc2c(c1)CCCC2,2,1.27,1.412,0.578,1.412
c1ccc(Oc2ccccc2)cc1,2,1.27,29.11,-160.353,11.213
c1ccc2ccccc2c1,2,1.27,2.731,-1.717,-0.558
O=C(c1ccccc1)c1ccccc1,2,1.27,4.395,-4.908,-2.935
