scaffold_smiles,n_samples,coverage_pct,rmse,r2,mean_error
,47,27.01,102.14,0.211,-13.447
c1ccccc1,39,22.41,138.612,0.038,-46.994
c1ccc(-c2ccccc2)cc1,6,3.45,542.713,0.154,275.894
c1ccc2ccccc2c1,6,3.45,204.527,-0.474,-26.928
c1ccncc1,5,2.87,44.415,-1.408,26.868
c1ccc2c(c1)Oc1ccccc1O2,4,2.3,106.684,0.802,44.102
c1ccc(Cc2ccccc2)cc1,2,1.15,196.195,-0.186,120.581
N=c1nc[nH]c(=N)[nH]1,2,1.15,29.802,-0.553,28.733
c1cncnc1,2,1.15,147.317,-2.261,-109.285
c1ccc(Nc2ccccc2)cc1,2,1.15,46.264,0.255,-42.142
