fragment_smiles,frequency,mean_activity,activity_std
[5*]N([5*])C,1,178.0,
[5*]N([5*])C(=C[N+](=O)[O-])NC,1,15.0,
[5*]N([5*])COC,1,469.0,
[5*]N1CCN([5*])CC1,1,19.0,
[16*]c1c[nH]cc1C#N,1,365.0,
[16*]c1c(C)csc1C,1,14.0,
[16*]c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-],1,111.0,
Nc1cccc2ccccc12,1,7.083,
CSSC,1,2.82,
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,1,3.2,
Cc1cc(C)c(C)cc1C,1,70.833,
Cc1cc(Cl)ccc1O,1,21.0,
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1,70.833,
Cc1ccc(C)c2c(C)cccc12,1,70.833,
Cc1ccc(Cl)c(O)c1,1,2.1,
Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1,1,1.0,
Cc1cccc(O)c1,1,11.3,
Cc1ccccc1,1,70.833,
Cc1ccccc1O,1,11.3,
Cc1ccccc1[N+](=O)[O-],1,70.833,
Cc1cccnc1,1,70.833,
ClC(Cl)(Cl)Cl,1,229.167,
ClC(Cl)C(Cl)(Cl)Cl,1,229.167,
ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,1,182.0,
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl,1,708.333,
ClC=CCl,1,23.0,
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,1,708.333,
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1,708.333,
Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,1,708.333,
Clc1ccc2c(c1)Oc1cc(Cl)ccc1O2,1,229.167,
Clc1ccc2ccccc2c1,1,79.0,
Clc1cccc2c1Oc1ccccc1O2,1,229.167,
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1,22.917,
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1,27.0,
CO,1,2.292,
CN(C)N=O,1,70.833,
CC1(C(O)=Nc2ccc(O)c(Cl)c2Cl)CCCCC1,1,0.29,
C=C(C)C1CC=C(C)CC1,1,0.83,
C=CC(=C)C,1,0.25,
C=CC(=N)O,1,1.875,
C=CCC(=O)O,1,7.083,
C=CCCC,1,22.917,
C=CCN=C=S,1,2.0,
C=CCO,1,2.292,
C=Cc1ccccc1,1,22.917,
CC(C)=O,1,7.083,
CC(C)CO,1,2.292,
CC(Cl)Cl,1,115.0,
CC1CCCC1,1,22.917,
CN(C)C(=S)SSC(=S)N(C)C,1,22.917,
CC1CNCC(C)O1,1,149.0,
CCCCCCCC,1,70.833,
CCCCCCCCCC,1,70.833,
CCCCCCCCO,1,2.292,
CCCCCCO,1,2.292,
CCCCN,1,2.292,
CCCO,1,2.292,
CCN,1,7.083,
CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,1,70.833,
CCO,1,2.292,
CN(C)C(=N)NC(=N)N,1,5.0,
N=C(N)S,1,18.7,
O=C(O)C(Cl)(Cl)Cl,1,119.6,
[16*]c1c(F)cccc1F,1,246.0,
O=C1CCCCC1,1,7.083,
[13*][C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,1,19.0,
[14*]c1c([16*])c(=O)n2n1CCOCC2,1,0.32,
[14*]c1cc(C)nc([14*])n1,1,70.833,
[14*]c1cnc(Cl)s1,1,1155.0,
[14*]c1cscn1,1,403.0,
[14*]c1nc(=N)[nH]c(=N)[nH]1,1,23.0,
[14*]c1nc(=NCC)nc([14*])[nH]1,1,227.0,
[14*]c1nc(C)cc(C)n1,1,7.6,
[14*]c1nc(Cl)c(Cl)cc1Cl,1,11.0,
[14*]c1nc(Cl)nc(=NCC)[nH]1,1,110.0,
[14*]c1nc([14*])c(C)c(C)n1,1,234.0,
[14*]c1nc([14*])c(Cl)c(=N)[nH]1,1,433.0,
[14*]c1nc([14*])c([16*])c([16*])c1[16*],1,61.0,
[14*]c1nc([14*])nc(C)n1,1,21.0,
[14*]c1nc2ccccc2[nH]1,1,403.0,
[14*]c1nn(C(O)=NC(C)(C)C)c(=O)n1N,1,50.0,
[14*]c1nsc([14*])n1,1,9.5,
[14*]c1oncc1[16*],1,9.6,
[15*]C1C(=O)c2ccccc2C1=O,1,31.7,
[15*]C1C(C=C(Cl)Cl)C1(C)C,1,71.0,
[15*]C1CCCCC1,1,502.0,
[15*]C1Cc2ccccc2C(c2c(O)c3ccccc3oc2=O)C1,1,439.0,
[16*]c1c(Br)cc(Br)cc1Br,1,178.0,
C1CCOC1,1,22.917,
[16*]c1c(Cl)c(Cl)cc(Cl)c1Cl,1,2291.667,
[13*]C1COC([13*])([13*])O1,1,210.0,
[13*]C1CO1,1,22.917,
[13*]C1(C)OC(=O)N(Nc2ccccc2)C1=O,1,28.0,
[1*]C(=O)C(=NOC)c1ccccc1[16*],1,2.3,
O=CCCCC=O,1,1.7,
O=NN(c1ccccc1)c1ccccc1,1,70.833,
O=[N+]([O-])C(Cl)(Cl)Cl,1,2.292,
O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1Cl,1,468.0,
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1,32.1,
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,1,70.833,
Oc1c(Cl)cc(Cl)cc1Cl,1,70.833,
Oc1ccccc1Cl,1,110.0,
Oc1ccccc1O,1,7.083,
Oc1nsc2ccccc12,1,1.0,
Sc1nc2ccccc2s1,1,248.0,
[1*]C(=O)C(=[7*])Cl,1,28.0,
[12*]S(C)(=O)=O,1,3285.0,
[1*]C(=O)C(C)(C)C,1,0.32,
