smiles,split,y_log10,y_lower,y_upper
O=[N+]([O-])c1ccc(O)cc1,train,1.8502376796666677,0.176,0.671
O=C(O)c1ccc(C(=O)O)cc1,train,0.8502376796666677,0.8448078672433587,0.8556674920899768
c1ccc(C2CCCC(C3CCCCC3)C2)cc1,train,1.8293037728310249,1.176,1.661
CCCCCC(CC)CC,train,1.557507201905658,0.671,1.176
CCCC(C)CCC,train,0.6812412373755872,0.671,1.176
CO,train,1.3601514477826384,0.176,0.671
CCCCCCC(CC)CC,train,0.6232492903979004,0.176,0.671
C#CCCCC,train,1.3601514477826384,0.671,1.176
CCCCCCCCCCO,train,-0.638272163982407,0.176,0.671
CC1CCC2CC(C)CCC2C1,train,0.6232492903979004,0.671,1.176
Clc1ccc2oc3ccc(Cl)cc3c2c1,train,1.1139433523068367,1.176,1.661
Cc1cc2ccccc2cc1C,train,2.8502376796666677,0.671,1.176
O=C(O)c1ccccc1,train,0.8502376796666677,0.176,0.671
CC1CCC2CCC3CCC(C)CC3C2C1,train,2.561101383649056,1.661,2.164
CC1CC(C)CC(C)C1,train,0.3222192947339193,1.176,1.661
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,train,2.5622928644564746,0.671,1.176
CCCCCCCCC(C)C,train,0.36172783601759284,0.176,0.671
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,train,0.36172783601759284,1.176,1.661
CC(C)CCC(C)C,train,0.8388490907372553,0.671,1.176
C[C@@H]1CCCC[C@H]1C,train,0.5910646070264992,0.671,1.176
CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,train,0.8502376796666677,1.176,1.661
OCCO,train,0.8502376796666677,0.176,0.671
O=C(O)CN(CC(=O)O)CC(=O)O,train,1.0569048513364727,1.176,1.661
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,train,2.6148972160331345,1.176,1.661
Cc1ccccc1-c1ccccc1,train,0.6232492903979004,0.176,0.671
CCC(C)c1ccccc1,train,0.7403626894942439,0.176,0.671
CCCCCCCCC1CC(O)=N[C@@H](CC(=N)O)C(O)=N[C@H](Cc2ccc(O)cc2)C(O)=N[C@H](CC(=N)O)C(=O)N2CCC[C@H]2C(O)=N[C@@H](CCC(=O)O)C(O)=N[C@H](CO)C(O)=N[C@@H]([C@@H](C)O)C(O)=N1,train,1.8502376796666677,-0.982,-0.339
CCCc1ccccc1C,train,0.8388490907372553,0.176,0.671
COC=O,train,0.36015144778263847,0.176,0.671
c1cc2c3c(c1)CCc1cccc(c1-3)CC2,train,1.7168377232995244,2.164,2.661
CC1CCC(C)c2ccccc21,train,1.7781512503836436,0.671,1.176
CCC(C)CCC(C)C,train,0.8692317197309762,0.671,1.176
COC(=O)c1ccccc1,train,1.3617278360175928,2.164,2.661
COCCl,train,1.3601514477826384,1.176,1.661
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,train,1.7634279935629373,1.661,2.164
CCC(C)CCCC(C)CCCC(C)CCCC(C)C,train,0.9030899869919435,0.671,1.176
CCCCCC(C)CCC,train,0.505149978319906,0.176,0.671
Cc1ccc(C)cc1.Cc1ccc(C)cc1,train,0.8195439355418687,0.176,0.671
COc1ccc(C(=O)c2ccccc2)c(O)c1,train,0.11058971029924898,0.671,1.176
