smiles,split,leverage_h,h_star,in_ad_leverage,in_interval,interval_loss
Cc1ccc(C)cc1,train,0.4393756262813338,0.5529661016949152,True,False,0.6958346290005815
CC1CCC2CC(C)C(C)CC2C1,train,0.061232608040678566,0.5529661016949152,True,False,0.47448960539766405
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,train,0.41534223576108864,0.5529661016949152,True,False,0.12573359235695847
C[C@@H]1CC[C@H](C)C1,train,0.07307083863584359,0.5529661016949152,True,True,0.0
ClC=C(Cl)Cl,train,0.10978296042524412,0.5529661016949152,True,False,0.3126476080669023
O=C1C=CC(=O)O1,train,0.6855267232722995,0.5529661016949152,False,False,0.19414807754353713
CCO,train,0.27648878905391117,0.5529661016949152,True,False,1.3468472820923092
COc1ccccc1,train,0.07779233844590243,0.5529661016949152,True,False,0.6158991316957947
CCCOC(=O)c1ccc(O)cc1,train,0.20211376724397676,0.5529661016949152,True,False,0.2427389959014271
COCC(C)OC(C)=O,train,0.06525154281908711,0.5529661016949152,True,False,0.22423379199637017
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,train,0.2574280862907782,0.5529661016949152,True,False,0.11041665039772242
Cc1cc(C)cc(C)c1.Cc1cc(C)cc(C)c1,train,0.03378216326873347,0.5529661016949152,True,False,0.04644212405482473
Clc1cc(Cl)cc(Cl)c1,train,0.014884791774189127,0.5529661016949152,True,False,0.8971548987918155
C1CC2CCC3CCCC4CCC(C1)C2C34,train,0.2888661046724865,0.5529661016949152,True,False,0.753666692141318
Cc1cccc(C)c1N,train,0.10003900195619947,0.5529661016949152,True,True,0.0
CCNCC,train,0.16491979792670453,0.5529661016949152,True,False,0.9860643568184888
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,train,0.29681569487732534,0.5529661016949152,True,False,1.3619296359624995
c1ccsc1,train,0.36185390628520975,0.5529661016949152,True,True,0.0
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl,train,0.03402860328763,0.5529661016949152,True,False,2.1710657017916755
CCCCCCC(C)CC,train,0.05346007446065056,0.5529661016949152,True,True,0.0
CCCCC(C)CCC,train,0.05557055276409889,0.5529661016949152,True,False,0.18809447825993575
CCN,train,0.08101375143405194,0.5529661016949152,True,False,0.18283897581675201
COc1nc(C)nc(=NC(O)=NS(=O)(=O)c2ccccc2CCC(F)(F)F)[nH]1,train,0.4218406887944488,0.5529661016949152,True,False,1.4722744910641623
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,train,0.3118443539600565,0.5529661016949152,True,True,0.0
CCCCCCCCCCCCCCCCCC,train,0.09104103453919014,0.5529661016949152,True,True,0.0
CC(C)N=c1nc(Cl)[nH]c(=NC2CC2)[nH]1,train,0.14819601380951467,0.5529661016949152,True,False,1.0636376278559982
CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,train,0.14053245487060387,0.5529661016949152,True,True,0.0
C[C@@H]1CCC[C@H](C)C1,train,0.09292884367181865,0.5529661016949152,True,True,0.0
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O,train,0.031149112916186772,0.5529661016949152,True,False,0.0355514658934698
Oc1cccc(Cl)c1Cl,train,0.15414891023095043,0.5529661016949152,True,False,0.4147220162008599
Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1,train,0.11450064549567587,0.5529661016949152,True,False,0.19744698081703227
CCCCC(C)CCC(C)C,train,0.04991706406380575,0.5529661016949152,True,False,0.28750714845694947
CCCCOCCOCCO,train,0.2900032055593536,0.5529661016949152,True,False,0.19457528605315844
CCC(C)CCCC(C)C,train,0.013657181562724779,0.5529661016949152,True,True,0.0
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,train,0.4171691550341145,0.5529661016949152,True,True,0.0
CCc1cccc2ccccc12,train,0.23906353332501162,0.5529661016949152,True,False,1.9841091294881699
Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,train,0.013458095126840834,0.5529661016949152,True,True,0.0
Nc1cccc([N+](=O)[O-])c1,train,0.3849284681544213,0.5529661016949152,True,False,0.33780238832883364
CC(Cl)(Cl)Cl,train,0.1770011986015979,0.5529661016949152,True,False,0.3488475403422886
CCCCCCC1CCc2ccccc2C1,train,0.05735101665189393,0.5529661016949152,True,False,0.8957020640437723
Cc1cccc(OP(=O)(Oc2cccc(C)c2)Oc2cccc(C)c2)c1,train,0.13584649188028822,0.5529661016949152,True,False,0.42236978383811064
CCCCCCCCCC,train,0.11997357393978339,0.5529661016949152,True,False,0.09473399673436123
C1CCC(C2CCCCC2)CC1,train,0.0534459521060047,0.5529661016949152,True,False,0.14936305290844976
CCCCC(CC)CCC,train,0.03663988244698508,0.5529661016949152,True,True,0.0
Cc1cccc2ccccc12,train,0.09471394621615017,0.5529661016949152,True,False,0.1352371344173795
Oc1ccccc1Br,train,0.23014828281235458,0.5529661016949152,True,False,0.5536713222898106
CCCCCCCCCC1CCCCC1,train,0.2564688591381307,0.5529661016949152,True,False,0.7331917659005915
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(I)c1C(O)=NC(C)(C)CS(C)(=O)=O,train,0.2491921061468489,0.5529661016949152,True,False,1.248650505431979
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,train,0.4449458275231862,0.5529661016949152,True,False,0.8242200091118179
CC1CCCCC1NC(O)=Nc1ccccc1,train,0.03235451873450089,0.5529661016949152,True,False,1.4153556996542895
CC=O,train,0.31295090588409424,0.5529661016949152,True,False,0.1371837602654793
C=CC(=O)O,train,0.09494865318590671,0.5529661016949152,True,False,1.7959822810862012
CNC.O=C(O)COc1ccc(Cl)cc1Cl,train,0.27271289569702223,0.5529661016949152,True,True,0.0
NC1CCCCC1,train,0.14700772999048,0.5529661016949152,True,False,0.13081817395929374
OCCNCCO,train,0.31428738627074193,0.5529661016949152,True,True,0.0
Cn1sccc1=O,train,0.6704507202584277,0.5529661016949152,False,False,0.8954862625747306
Clc1ccc(Cl)cc1,train,0.11943148397901786,0.5529661016949152,True,False,1.2525453783431308
Nc1ccc(Cl)cc1,train,0.16512167608065056,0.5529661016949152,True,True,0.0
CCCCCCCCC(C)CCC,train,0.03384759908673948,0.5529661016949152,True,True,0.0
C1CCCCCCC1,train,0.2800004728258905,0.5529661016949152,True,False,1.3964328425504084
CCCCC(C)CCCC(C)C,train,0.1693048364592885,0.5529661016949152,True,False,0.6109314472238832
Clc1ccc(-c2ccccc2)c(Cl)c1Cl,train,0.03289755201558462,0.5529661016949152,True,False,1.7375839396349497
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,train,0.059153054245466526,0.5529661016949152,True,False,0.08999317168404974
Clc1cc(-c2cccc(Cl)c2Cl)cc(Cl)c1Cl,train,0.06418624694185744,0.5529661016949152,True,False,2.1208336169405637
N=c1nc(O)c2ncn(CCC(CO)CO)c2[nH]1,train,0.34600410559534794,0.5529661016949152,True,False,1.9534343086104817
N=c1[nH]c(C2CC2)nc(C(=O)O)c1Cl,train,0.538896036373865,0.5529661016949152,True,False,0.9859972889942279
CCCCN=C(O)n1c(N=C(O)OC)nc2ccccc21,train,0.1188658282267903,0.5529661016949152,True,True,0.0
CCOCN(C(=O)CCl)c1c(C)cccc1CC,train,0.29021861074462213,0.5529661016949152,True,False,0.1091754478499744
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,train,0.24597105359508606,0.5529661016949152,True,False,0.6830652308807588
Clc1cc(Cl)c(Cl)cc1Cl,train,0.1896646788971467,0.5529661016949152,True,False,1.9026983872656413
Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,train,0.07433729490849134,0.5529661016949152,True,False,0.6765724738560841
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,train,0.7185842427842247,0.5529661016949152,False,False,0.18222772109982333
O=[N+]([O-])c1ccc(O)cc1,train,0.09536798962338493,0.5529661016949152,True,False,0.9791964293613731
O=C(O)c1ccc(C(=O)O)cc1,train,0.09441279774068981,0.5529661016949152,True,False,0.19480704592844644
c1ccc(C2CCCC(C3CCCCC3)C2)cc1,train,0.10739728490522275,0.5529661016949152,True,False,0.21927587742544108
CCCCCC(CC)CC,train,0.09349846202036964,0.5529661016949152,True,True,0.0
CCCC(C)CCC,train,0.01807401740966371,0.5529661016949152,True,True,0.0
CO,train,0.06147010247856533,0.5529661016949152,True,False,0.42132841995570547
CCCCCCC(CC)CC,train,0.05303336433642282,0.5529661016949152,True,False,0.2565520033881381
C#CCCCC,train,0.3579130987132517,0.5529661016949152,True,False,0.38414540163893607
CCCCCCCCCCO,train,0.06201279739234495,0.5529661016949152,True,True,0.0
CC1CCC2CC(C)CCC2C1,train,0.050179742273852516,0.5529661016949152,True,True,0.0
Clc1ccc2oc3ccc(Cl)cc3c2c1,train,0.03975350664074438,0.5529661016949152,True,False,0.21499632136612934
Cc1cc2ccccc2cc1C,train,0.11616846934956704,0.5529661016949152,True,False,1.464383850749335
O=C(O)c1ccccc1,train,0.11549761535896252,0.5529661016949152,True,True,0.0
CC1CCC2CCC3CCC(C)CC3C2C1,train,0.24232045726027174,0.5529661016949152,True,False,0.25809542233582805
CC1CC(C)CC(C)C1,train,0.05399719224741647,0.5529661016949152,True,False,0.473423380312333
O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,train,0.6092885053426452,0.5529661016949152,False,False,1.0721658147061122
CCCCCCCCC(C)C,train,0.014073328361963714,0.5529661016949152,True,True,0.0
Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,train,0.034990274578444586,0.5529661016949152,True,False,0.50289128145893
CC(C)CCC(C)C,train,0.017611612472713624,0.5529661016949152,True,True,0.0
C[C@@H]1CCCC[C@H]1C,train,0.06825756840273833,0.5529661016949152,True,True,0.0
CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,train,0.3036992334494114,0.5529661016949152,True,False,0.1239785001740028
OCCO,train,0.11263357287701102,0.5529661016949152,True,False,0.3680496796305335
O=C(O)CN(CC(=O)O)CC(=O)O,train,0.04408032309275268,0.5529661016949152,True,False,0.18040936581792555
BrC1(Br)CCCCCCCCCC(Br)(Br)C1(Br)Br,train,0.09602807335330853,0.5529661016949152,True,False,0.42246014139287946
Cc1ccccc1-c1ccccc1,train,0.12590291031110687,0.5529661016949152,True,False,0.10468519914737784
CCC(C)c1ccccc1,train,0.020974989377789046,0.5529661016949152,True,False,0.035459246751520235
