class_value,log10_class,log10_lower,log10_upper
2.2916666255995746,0.36015144,0.2666688399999998,0.4536340400000002
2.819534805061218,0.45017746000000003,0.35669485999999984,0.5436600600000002
4.900000225331634,0.6901961,0.5967134999999998,0.7836787000000002
6.3882705399151565,0.8053833,0.7119006999999998,0.8988659000000002
6.6943297334760485,0.8257071,0.7322244999999998,0.9191897000000002
7.083333175670195,0.85023767,0.7567550699999998,0.9437202700000001
9.034903119104388,0.9559235,0.8624408999999998,1.0494061000000001
9.20000047990685,0.96378785,0.8703052499999998,1.0572704500000003
22.916664145292874,1.3601514,1.2666687999999997,1.453634
70.83333664969537,1.8502377,1.7567551,1.9437203000000003
149.00001083728094,2.1731863,2.0797036999999996,2.2666689
229.16669422050416,2.3601515,2.2666689,2.4536341000000004
708.3332033971869,2.8502376,2.7567549999999996,2.9437202
2291.666942205042,3.3601515,3.2666689,3.4536341000000004
