class_value,log10_class,log10_lower,log10_upper
0.208333333333333,-0.6812412373755878,-0.8311921910648892,-0.5312902836862865
0.25,-0.6020599913279624,-0.7520109450172636,-0.4521090376386611
0.7083,-0.14978275820161055,-0.2997337118909118,0.000168195487690731
0.708333333333333,-0.14976232033333228,-0.2997132740226336,0.00018863335596899788
2.29166666666667,0.36015144778263847,0.2102004940933372,0.5101024014719397
7.08333333333333,0.8502376796666677,0.7002867259773664,1.000188633355969
10.625,1.026328938722349,0.8763779850330478,1.1762798924116504
22.9166666666667,1.3601514477826384,1.210200494093337,1.5101024014719397
36.875,1.5667320289862194,1.416781075296918,1.7166829826755208
70.8333333333333,1.8502376796666677,1.7002867259773664,2.000188633355969
99.0,1.99563519459755,1.8456842409082486,2.145586148286851
110.625,2.043853283705882,1.8939023300165805,2.193804237395183
229.166666666667,2.3601514477826386,2.2102004940933373,2.51010240147194
708.333333333333,2.8502376796666677,2.7002867259773664,3.000188633355969
2291.66666666667,3.3601514477826386,3.2102004940933373,3.51010240147194
